,,,,,,,,,,,
ConocoPhillips (COP US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-3.571,0.000,-3.704,0.000,0.000,3.846,-3.704,3.846,0.000,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,—,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.020,0.040,0.020,0.030,0.030,0.020,0.050,0.060,0.050,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,0.000,100.000,-50.000,50.000,0.000,-33.333,150.000,20.000,-16.667,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.060,0.060,0.060,0.060,0.030,0.040,0.040,0.040,0.040,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,50.000,0.000,0.000,0.000,-50.000,33.333,0.000,0.000,0.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.050,0.050,0.040,0.050,0.030,0.040,0.040,0.040,0.040,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,25.000,0.000,-20.000,25.000,-40.000,33.333,0.000,0.000,0.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.090,0.090,0.070,0.060,0.050,0.090,0.140,0.120,0.190,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-18.182,0.000,-22.222,-14.286,-16.667,80.000,55.556,-14.286,58.333,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.240,0.230,0.220,0.200,0.180,0.130,0.160,0.140,0.160,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-29.412,-4.167,-4.348,-9.091,-10.000,-27.778,23.077,-12.500,14.286,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.200,0.180,0.170,0.170,0.150,0.120,0.150,0.140,0.170,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-28.571,-10.000,-5.556,0.000,-11.765,-20.000,25.000,-6.667,21.429,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"15,900.000","13,300.000","11,400.000","10,800.000","10,400.000","9,700.000","9,900.000","9,500.000","9,900.000","11,800.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,13.800,17.400,8.300,11.200,5.300,14.500,13.100,4.900,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,26.087,-52.299,34.940,-52.679,173.585,-9.655,-62.595,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,13.361,12.755,13.281,9.196,8.801,10.175,10.326,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,-4.536,4.124,-30.760,-4.290,15.605,1.486,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"262,350.000","236,740.000","231,420.000","247,320.000","296,400.000","262,870.000","212,850.000","174,800.000","253,440.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,-9.762,-2.247,6.871,19.845,-11.312,-19.028,-17.876,44.989,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,100.000,—,—,—,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,67.000,68.000,69.000,70.000,71.000,72.000,73.000,74.000,75.000,76.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,1.515,1.493,1.471,1.449,1.429,1.408,1.389,1.370,1.351,1.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,4.000,6.000,5.000,6.000,6.000,6.000,6.000,6.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,4.000,6.000,5.000,6.000,6.000,6.000,6.000,6.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,10.000,10.000,10.000,10.000,10.000,10.000,10.000,11.000,9.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,11.000,11.000,12.000,12.000,11.000,14.000,13.000,14.000,12.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,9.000,9.000,9.000,10.000,10.000,9.000,9.000,11.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,11.000,11.000,10.000,13.000,11.000,12.000,10.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,6.000,8.000,6.000,5.000,9.000,8.000,7.000,5.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,5.000,5.000,5.000,6.000,6.000,5.000,6.000,6.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,5.000,5.000,5.000,6.000,6.000,5.000,6.000,6.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,8.000,8.000,8.000,8.000,7.000,11.000,8.000,8.000,7.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,4.000,4.000,4.000,4.000,4.000,4.000,2.000,—
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,48.000,49.000,50.000,50.000,51.000,52.000,54.000,55.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,72.000,72.000,70.000,71.000,71.000,72.000,69.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,11.000,11.000,10.000,12.000,11.000,12.000,10.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,5.000,6.000,6.000,5.000,5.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,5.000,6.000,6.000,5.000,5.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
