,,,,,,,,,,
Posco International Corp (047050 KS) - Overview,,,,,,,,,,
,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,0.065,0.355,0.310,2.882
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,445.692,-12.518,828.843
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,0.000,0.000,0.001
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,0.000,0.000,0.089
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,1.235,0.515,0.072,0.199
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,-58.291,-86.003,176.144
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,0.274,0.054,0.002,0.674
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,-80.219,-96.125,"31,990.476"
,,,,,,,,,,
Climate Change,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,617.506,752.446,800.629,"5,359.640"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,21.852,6.404,569.429
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,44.091,43.598,49.363,"7,690.740"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,-1.118,13.223,"15,479.970"
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,363.471
,,,,,,,,,,
Energy,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,"1,111.140","1,087.670","1,088.980","37,294.500"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,-2.112,0.120,"3,324.719"
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,0.000,0.000,0.619
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,61.114,227.273,239.208,"13,588.500"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,271.881,5.251,"5,580.621"
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,0.005
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,"78,027.102","75,739.898","74,540.898","2,361,250.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,-2.931,-1.583,"3,067.724"
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,7.814,7.715,7.502,11.955
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,-1.265,-2.772,59.360
,,,,,,,,,,
Materials & Waste,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,283.023,651.388,644.682,0.831
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,130.154,-1.029,-99.871
Total Waste,TOTAL_WASTE,—,—,—,—,—,285.623,655.118,648.651,"4,817.050"
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,129.365,-0.987,642.626
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,2.897,3.760,3.870,"4,741.170"
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,29.800,2.909,"122,420.348"
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,0.114,0.124,0.022,0.696
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,9.211,-82.008,"3,006.250"
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Water,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,933.633,"1,956.810","2,108.210","25,745.801"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,109.591,7.737,"1,121.216"
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,887.088,"1,315.490","1,274.330","22,745.301"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,48.293,-3.129,"1,684.883"
,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,
Social,,,,,,,,,,
Community & Customers,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,1.304,1.327,0.954,1.889,1.098,1.836,32.503,15.658,4.242
    Growth (YoY),COMMUNITY_SPENDING,—,1.764,-28.109,98.008,-41.874,67.213,"1,670.316",-51.826,-72.908
,,,,,,,,,,
Diversity,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,Yes,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,3.880,3.828,4.814,11.867
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,-1.347,25.757,146.526
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,35.210,31.110,25.260,17.207
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,-11.644,-18.804,-31.882
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,0.380,0.350,0.100,0.521
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,-7.895,-71.429,421.415
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,0.810,0.810,0.300,1.006
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,0.000,-62.963,235.197
,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Health & Safety,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,0.020,0.020,0.000,0.020
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.000,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,0.220,0.120,0.160
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,-45.455,33.333
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,0.000,0.000,0.000,0.000
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,150.000,-60.000,50.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,0.440,0.620,0.390,0.450,0.150
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,40.909,-37.097,15.385,-66.667
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,1.710,0.820,0.290,0.420
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,-52.047,-64.634,44.828
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,1.000,0.000,0.000,0.000
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,-50.000,-4.444,-62.791
,,,,,,,,,,
Human Capital,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,002.000","7,046.000","7,923.000","9,369.000","10,260.000","7,805.000","8,305.000","8,777.000","8,055.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,18.710,29.990,31.090,16.870
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,60.289,3.668,-45.738
Employee Training Cost,EMPLOYEE_TRAINING_COST,1.746,1.597,2.189,2.402,3.962,2.355,2.477,2.989,4.226
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,-8.534,37.070,9.730,64.946,-40.560,5.180,20.670,41.385
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"85,800.000","119,981.000","129,409.000","84,739.602","103,817.000","122,246.000","103,724.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,39.838,7.858,-34.518,22.513,17.751,-15.151
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Governance,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,1.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,11.111,10.000,9.091,8.333,7.692,7.143,6.667,-93.750
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,5.000,5.000,5.000,7.000,7.000,9.000,12.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,87.500,95.830,100.000,94.440,97.220,95.420,97.920
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,-12.500,9.520,4.351,-5.560,2.944,-1.851,2.620
,,,,,,,,,,
Board Composition,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,No,No,No,No,No,No
Board Size,BOARD_SIZE,6.000,7.000,7.000,7.000,7.000,7.000,6.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,23.000,24.000,26.000,26.000,26.000,20.000,20.000,20.000,30.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,5.000,5.000,5.000,5.000,4.000,5.000,4.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,8.000,11.000,10.000,9.000,9.000,10.000,11.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,96.900,93.200,97.500,98.890,88.890,100.000,97.220,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-3.818,4.614,1.426,-10.112,12.499,-2.780,2.859
,,,,,,,,,,
Compensation,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Diversity,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,55.000,55.000,56.000,57.000,56.000,56.000,58.000,58.000,59.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,64.000,65.000,66.000,62.000,62.000,63.000,64.000,64.000
,,,,,,,,,,
Independence,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000
,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,6.000,6.000,6.000,6.000,6.000,5.000,5.000,7.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Sustainability Governance,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,
Tenure,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,
