,,,,,,,,,,,
TGS ASA (TGS NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,7.000,8.000,8.000,8.000,8.000,7.000,7.000,5.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,10.000,10.000,10.000,10.000,9.000,8.000,7.000,9.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,8.000,8.000,8.000,8.000,7.000,7.000,5.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,11.000,11.000,10.000,9.000,9.000,10.000,11.000,8.000,10.000,10.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,97.970,96.250,90.470,97.220,97.500,98.700,—,96.000,95.710
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-2.030,-1.756,-6.005,7.461,0.288,1.231,—,—,-0.302
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,No,No,No,No,No,No,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,8.000,8.000,7.000,6.000,6.000,6.000,8.000,7.000,6.000,7.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,91.660,100.000,100.000,95.240,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,-8.340,9.099,0.000,-4.760,4.998,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,3.000,3.000,3.000,2.000,3.000,3.000,2.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,47.000,48.000,49.000,50.000,51.000,48.000,56.000,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,66.000,69.000,70.000,71.000,68.000,73.000,—,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,6.000,8.000,8.000,8.000,8.000,7.000,7.000,5.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
