,,,,,,,,,,,
Petrofac Ltd (PFC LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"112,250.000","131,790.000","129,835.000","95,880.000","54,940.000","141,510.000","264,880.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,17.408,-1.483,-26.152,-42.699,157.572,87.181
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,—,"1,167.000","1,475.000","1,911.000","2,401.000"
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,40.000,41.000,36.000,38.000
    Growth (YoY),PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,2.500,-12.195,5.556
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,5.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,5.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,3.000,5.000,4.000,4.000,4.000,5.000,5.000,7.000,4.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,8.000,10.000,8.000,8.000,9.000,9.000,10.000,8.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,12.000,12.000,10.000,11.000,10.000,7.000,9.000,9.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,5.000,7.000,6.000,6.000,7.000,7.000,8.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,9.000,11.000,13.000,9.000,10.000,15.000,6.000,9.000,23.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,89.420,94.520,94.310,100.000,100.000,100.000,97.310
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,5.703,-0.222,6.033,0.000,0.000,-2.690
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,1.000,1.000,4.000,4.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,9.000,3.000,8.000,5.000,4.000,5.000,5.000,6.000,6.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,93.330,91.660,94.440,95.000,95.830,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,5.887,0.000,0.000,-6.670,-1.789,3.033,0.593,0.874,4.351,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,0.000,0.000,0.000,1.000,1.000,1.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,1.000,2.000,1.000,2.000,3.000,3.000,3.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,—,—,—,—,—,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,5.000,7.000,6.000,3.000,3.000,7.000,7.000,6.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,7.000,6.000,8.000,6.000,7.000,8.000,8.000,8.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,6.000,5.000,7.000,6.000,3.000,3.000,6.000,7.000,5.000,6.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,6.000,7.000,7.000,5.000,5.000,5.000,3.000,4.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,5.000,100.000,97.720,100.000,93.930,94.590,97.500,95.830,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-95.000,"1,900.000",-2.280,2.333,-6.070,0.703,3.076,-1.713,4.351,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
