,,,,
AKITA Drilling Ltd (AKT/A CN) - Overview,,,,
,,,,
In Millions of CAD except Per Share,,FY 2021,FY 2022,FY 2023
Water Policy,WATER_POLICY,No,No,No
,,,,
Ecological & Biodiversity Impacts,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,No,No,No
,,,,
Social,,,,
Community & Customers,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes
,,,,
Diversity,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No
,,,,
Ethics & Compliance,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes
,,,,
Health & Safety,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.800,0.710,0.240
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,-11.250,-66.197
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,3.550,7.310,4.200
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,105.915,-42.544
,,,,
Human Capital,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,600.000,600.000,600.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No
,,,,
Supply Chain,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No
,,,,
Governance,,,,
Audit Risk & Oversight,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000
,,,,
Board Composition,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,3.000,3.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,4.000,4.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,96.774,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-3.226,3.333
,,,,
Compensation,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,3.000,3.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,87.500,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,-12.500,14.286
,,,,
Diversity,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,4.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,59.000,60.000,61.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,82.000,83.000,84.000
,,,,
Independence,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,6.000,6.000
,,,,
Nominations & Governance Oversight,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,3.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,87.500,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,-12.500,14.286
,,,,
Sustainability Governance,,,,
Verification Type,VERIFICATION_TYPE,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No
,,,,
Tenure,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000
,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,
