,,,,,,,,,,,
Parex Resources Inc (PXT CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.260,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,84.615,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.082,0.082,0.306,0.132,0.096,0.060,0.050,0.036,0.095,0.030
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,0.000,273.171,-56.863,-27.273,-37.500,-16.667,-28.000,163.889,-68.421
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.108,0.266,0.118,0.086,0.054,0.044,0.030,0.087,0.050
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,146.296,-55.639,-27.119,-37.209,-18.519,-31.818,190.000,-42.529
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.260,0.940,0.000,0.000,0.000,0.000,0.000,0.300,0.275,0.263
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,261.538,—,—,—,—,—,—,-8.333,-4.364
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.392,0.164,0.856,0.570,0.382,0.244,0.210,0.180,0.190,0.193
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-58.163,421.951,-33.411,-32.982,-36.126,-13.934,-14.286,5.556,1.579
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.214,0.760,0.512,0.346,0.222,0.180,0.190,0.197,0.200
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,255.140,-32.632,-32.422,-35.838,-18.919,5.556,3.684,1.523
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,278.000,279.000,261.000,279.000,318.000,339.000,348.000,371.000,428.000,449.000
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,11.000,16.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,16.000,6.000,13.000,5.700,3.970,5.310,4.220,6.470,3.750,5.570
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-62.500,116.667,-56.154,-30.351,33.753,-20.527,53.318,-42.040,48.533
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,0.117,0.135,0.350,0.320,0.390,0.430,0.780,0.290,0.470
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,15.769,159.186,-8.571,21.875,10.256,81.395,-62.821,62.069
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"7,863.000","30,132.000","18,237.000","27,730.000","29,928.000","39,853.000","52,481.000","47,573.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,283.213,-39.476,52.054,7.926,33.163,31.686,-9.352
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,5.000,7.000,5.000,4.000,6.000,4.000,4.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,10.000,10.000,10.000,10.000,9.000,9.000,10.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,4.000,4.000,3.000,7.000,7.000,6.000,5.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,9.000,9.000,9.000,9.000,8.000,8.000,9.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,6.000,8.000,7.000,11.000,7.000,9.000,16.000,9.000,9.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.210,100.000,100.000,100.000,98.180,100.000,100.000,98.430,100.000,98.900
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-1.790,1.823,0.000,0.000,-1.820,1.854,0.000,-1.570,1.595,-1.100
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,6.000,8.000,2.000,4.000,6.000,4.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,94.440,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,-5.560,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,1.000,1.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,70.000,70.000,70.000,70.000,75.000,75.000,75.000,75.000,75.000,75.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,50.000,51.000,52.000,53.000,54.000,57.000,48.000,43.000,44.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,70.000,71.000,68.000,69.000,70.000,71.000,72.000,73.000,74.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,7.000,9.000,8.000,8.000,8.000,8.000,8.000,9.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,6.000,8.000,5.000,4.000,5.000,11.000,4.000,5.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,94.440,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-5.560,5.887,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
