,,,,,,,,,,,
Tokyo Gas Co Ltd (9531 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
GHG Scope 1,GHG_SCOPE_1,"3,077.000","3,186.000","3,712.000","3,902.000","3,589.000","3,467.000","3,691.000","3,154.000","4,405.000","4,574.000"
    Growth (YoY),GHG_SCOPE_1,—,3.542,16.510,5.119,-8.022,-3.399,6.461,-14.549,39.664,3.837
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,305.000,308.000,308.000,287.000,260.000,239.000,213.000,215.000,249.000,227.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,0.984,0.000,-6.818,-9.408,-8.077,-10.879,0.939,15.814,-8.835
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,297.000,239.000,209.000,205.000,249.000,227.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,-19.529,-12.552,-1.914,21.463,-8.835
GHG Scope 3,GHG_SCOPE_3,"37,868.602","35,748.801","36,408.301","36,568.000","35,746.000","32,656.000","43,133.301","43,151.000","53,515.000","49,277.000"
    Growth (YoY),GHG_SCOPE_3,—,-5.598,1.845,0.439,-2.248,-8.644,32.084,0.041,24.018,-7.919
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,2.000,2.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.000,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"18,444.199","19,044.699","22,008.301","22,958.600","21,118.900","20,275.801","21,379.199","17,196.400","25,208.900","23,562.500"
    Growth (YoY),ENERGY_CONSUMPTION,9.472,3.256,15.561,4.318,-8.013,-3.992,5.442,-19.565,46.594,-6.531
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,0.855,0.547,1.164,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,-36.023,112.797,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.316,0.316,0.215,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,0.000,-31.962,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"1,402,220.000","1,447,190.000","1,691,520.000","1,775,980.000","1,628,420.000","1,857,570.000","1,601,360.000","1,265,920.000","1,826,140.000","1,672,210.000"
    Growth (YoY),NAT_GAS_USED,9.940,3.207,16.883,4.993,-8.309,14.072,-13.793,-20.947,44.254,-8.429
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,3.501,3.427,3.540,3.444,3.502,3.178,—,—,—,—
    Growth (YoY),OIL_DIESEL_USED,-5.633,-2.114,3.297,-2.712,1.684,-9.260,—,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,133.650,152.460,147.161,164.162,147.817,149.023,143.176,133.481,74.730,20.369
    Growth (YoY),TOTAL_WASTE,-96.388,14.074,-3.476,11.553,-9.957,0.816,-3.924,-6.771,-44.015,-72.743
Waste Recycled,WASTE_RECYCLED,125.942,145.070,142.597,158.900,142.348,143.264,139.945,130.260,70.071,16.521
    Growth (YoY),WASTE_RECYCLED,-92.661,15.188,-1.705,11.433,-10.417,0.643,-2.317,-6.921,-46.207,-76.422
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,3.714,2.433,1.312,2.001,2.490,1.702,1.655,2.316,4.030,2.931
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-34.491,-46.075,52.515,24.438,-31.647,-2.761,39.940,74.007,-27.270
Raw Materials Used,RAW_MAT_USED,"11,954.000","11,849.000","12,017.000","11,898.000","11,574.000","10,862.000","10,809.000","10,392.000","10,109.000","9,249.000"
    Growth (YoY),RAW_MAT_USED,8.109,-0.878,1.418,-0.990,-2.723,-6.152,-0.488,-3.858,-2.723,-8.507
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"790,157.000","779,384.000","786,896.000","789,831.000","743,481.000","690,950.000","661,816.000","679,501.000","633,359.000","619,989.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.384,-1.363,0.964,0.373,-5.868,-7.066,-4.217,2.672,-6.791,-2.111
Total Water Discharged,TOTAL_WATER_DISCHARGED,"1,116.000","1,091.000","1,090.000","785,720.000","739,517.000","687,365.000","658,427.000","676,921.000","629,629.000","615,761.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,0.904,-2.240,-0.092,"71,984.404",-5.880,-7.052,-4.210,2.809,-6.986,-2.203
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,15.800,16.600,17.200,18.600,19.100,19.600,20.100,20.900
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,5.063,3.614,8.140,2.688,2.618,2.551,3.980
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"16,835.000","16,998.000","13,957.000","13,726.000","16,708.000","16,591.000","14,483.000","14,141.000","13,617.000","13,251.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,513.000,505.000,483.000,422.000,392.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,46.000,47.000,48.000,49.000,50.000,51.000,52.000,53.000,54.000,55.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.222,2.174,2.128,2.083,2.041,2.000,1.961,1.923,1.887,1.852
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,—,—,—,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,—,—,—,11.000,14.000,14.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,11.000,8.000,9.000,9.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,24.000,27.000,26.000,27.000,28.000,30.000,29.000,27.000,29.000,31.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,3.000,3.000,3.000,3.000,4.000,4.000,6.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,11.000,12.000,12.000,13.000,12.000,12.000,12.000,12.000,13.000,12.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,100.000,100.000,99.020
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,0.000,-0.980
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,3.000,4.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000,2.000,2.000,2.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,1.000,1.000,1.000,2.000,2.000,3.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,45.000,46.000,47.000,48.000,57.000,58.000,59.000,60.000,61.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,77.000,74.000,75.000,76.000,68.000,69.000,70.000,71.000,71.000,72.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,4.000,4.000,6.000,6.000,6.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,—,7.000,9.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
