,,,,
Westlake Chemical Partners LP (WLKP US) - Overview,,,,
,,,,
In Millions of USD except Per Share,,FY 2021,FY 2022,FY 2023
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,"2,830.080"
,,,,
Energy,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"48,742.301"
,,,,
Materials & Waste,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No
Hazardous Waste,HAZARDOUS_WASTE,—,—,48.658
Total Waste,TOTAL_WASTE,—,—,766.276
,,,,
Supply Chain,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No
,,,,
Water,,,,
Water Policy,WATER_POLICY,No,No,No
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"682,034.000"
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,"592,761.000"
Water Consumption,WATER_CONSMPTN,—,—,"89,273.000"
,,,,
Ecological & Biodiversity Impacts,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,No,No,No
,,,,
Social,,,,
Community & Customers,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes
,,,,
Diversity,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No
,,,,
Ethics & Compliance,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes
,,,,
Health & Safety,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.690
,,,,
Human Capital,,,,
Training Policy,TRAINING_POLICY,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,151.000,148.000,152.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,16.550,16.890,16.440
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,2.054,-2.664
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No
,,,,
Supply Chain,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No
,,,,
Governance,,,,
Audit Risk & Oversight,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,8.000,9.000,10.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,12.500,11.111
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,8.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000
,,,,
Board Composition,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,4.000,6.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,3.000,3.000,3.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,9.000,9.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,0.000
,,,,
Compensation,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000
,,,,
Diversity,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000
Board Age Limit,BOARD_AGE_LIMIT,75.000,75.000,75.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,74.000,75.000,76.000
,,,,
Independence,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000
,,,,
Nominations & Governance Oversight,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000
,,,,
Sustainability Governance,,,,
Verification Type,VERIFICATION_TYPE,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No
,,,,
Tenure,,,,
,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,
