,,,,,,,,,,,
Transocean Ltd (RIG US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,6.250,5.882,5.556,5.263,5.000,4.762,4.545,4.348,4.167,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,4.000,4.000,5.000,5.000,5.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,4.000,4.000,5.000,5.000,5.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,9.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,80.000,80.000,80.000,100.000,100.000,100.000,100.000,75.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-25.000,33.333,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,11.000,11.000,11.000,11.000,10.000,11.000,11.000,11.000,11.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,7.000,6.000,6.000,6.000,6.000,6.000,6.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,10.000,10.000,9.000,10.000,10.000,10.000,10.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,80.000,80.000,80.000,100.000,100.000,100.000,100.000,75.000,100.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-25.000,33.333,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,80.000,80.000,80.000,100.000,100.000,100.000,100.000,75.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-25.000,33.333,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,2.000,3.000,3.000,2.000,—
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,75.000,75.000,75.000,75.000,75.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,35.000,36.000,37.000,38.000,39.000,40.000,41.000,42.000,43.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,68.000,69.000,70.000,70.000,71.000,72.000,69.000,70.000,71.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,10.000,10.000,9.000,10.000,10.000,10.000,10.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,80.000,80.000,80.000,100.000,100.000,100.000,100.000,75.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-25.000,33.333,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
