,,,,,,,,,,,
Contact Energy Ltd (CEN NZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NZD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,1.396,0.953,5.456,17.910,-12.405,14.644,31.008,11.033,-2.022,-5.012
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,78.597,73.721,84.859,84.859,84.859,84.859,84.859,84.859,84.859,84.859
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.733,-6.205,15.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,0.131,0.108,0.123,0.090,0.094,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,-17.939,14.753,-27.262,5.227,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,0.041,0.036,0.039,0.028,0.011,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,-12.303,8.322,-28.679,-58.770,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"1,044.650",783.168,802.220,706.483
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,-25.031,2.433,-11.934
GHG Scope 1,GHG_SCOPE_1,"1,495.720","1,112.250","1,142.570","1,175.770",985.905,923.072,"1,044.740",783.169,526.621,947.491
    Growth (YoY),GHG_SCOPE_1,—,-25.638,2.726,2.906,-16.148,-6.373,13.181,-25.037,-32.758,79.919
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,1.397,1.374,1.258,1.303,1.384,1.957,0.975
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,-1.646,-8.443,3.577,6.216,41.402,-50.179
GHG Scope 3,GHG_SCOPE_3,—,—,—,515.179,524.314,277.987,555.035,394.784,273.674,265.035
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,1.773,-46.981,99.662,-28.872,-30.678,-3.157
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.123,0.134,0.137,0.111,0.109,0.124,0.095,0.070,0.110
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,8.943,2.239,-18.978,-1.802,13.761,-23.387,-26.316,57.143
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No,No,No
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"4,863.610","3,887.060","3,699.600","4,228.590","3,032.380","1,733.580","3,523.450"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,-20.079,-4.823,14.299,-28.289,-42.831,103.247
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,0.000,—,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,9.049,—,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,19.378,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,"2,124.200",—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,0.022,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No,No,No
Total Waste,TOTAL_WASTE,—,—,—,0.109,0.126,0.109,0.132,0.092,0.104,0.121
    Growth (YoY),TOTAL_WASTE,—,—,—,—,15.688,-13.878,21.547,-30.530,13.413,16.346
Waste Recycled,WASTE_RECYCLED,—,—,—,0.000,0.003,0.004,0.006,0.001,0.007,0.007
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,5.882,66.667,-88.333,828.571,6.154
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"440,262.000","511,738.000","107,117.000","110,436.000","108,357.000","116,658.000","106,047.000","107,970.000","108,036.000","111,692.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-4.894,16.235,-79.068,3.098,-1.883,7.661,-9.096,1.813,0.061,3.384
Total Water Discharged,TOTAL_WATER_DISCHARGED,"446,478.000","490,820.000","21,823.000","20,448.000","17,982.000","15,476.000","18,727.000","15,533.000","15,974.000","16,579.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-5.614,9.932,-95.554,-6.301,-12.060,-13.936,21.007,-17.056,2.839,3.787
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.559,0.475,0.032,0.003,0.004,0.442,0.037,0.714,0.797,1.400
    Growth (YoY),COMMUNITY_SPENDING,-19.757,-15.027,-93.213,-89.990,23.954,"10,950.000",-91.710,"1,848.584",11.625,75.659
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,41.936,32.353,25.710,31.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,-22.851,-20.533,20.576
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,31.776,36.364,31.880,37.340
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,14.438,-12.330,17.127
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,44.370,44.000,43.000,42.000,47.000,47.000,45.070,42.570,47.000,47.200
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-1.004,-0.834,-2.273,-2.326,11.905,0.000,-4.106,-5.547,10.406,0.426
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,1.024,1.027,—,—,—,32.700,34.100,31.100
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,0.254,—,—,—,—,4.281,-8.798
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.000,—,—,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,—,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,—,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.000,0.000,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,1.860,—,—,1.620,0.500,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,-69.136,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,0.600,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.370,0.580,0.480,0.660,0.260,0.420,0.420,0.900,0.178,0.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-90.750,56.757,-17.241,37.500,-60.606,61.538,0.000,114.286,-80.222,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,4.300,2.060,1.320,3.760,1.080,4.300,0.900,2.266,0.440
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,-52.093,-35.922,184.848,-71.277,298.148,-79.070,151.778,-80.583
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,066.000","1,038.000","1,026.000",978.000,889.000,934.000,923.000,"1,179.000","1,242.000","1,273.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,19.000,16.900,17.400,19.200,18.300,12.600
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,-11.053,2.959,10.345,-4.688,-31.148
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,8.500,9.700
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,—,14.118
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"9,597.000",—,—,—,—,—,"9,469.980","17,838.301","22,703.801",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-57.003,—,—,—,—,—,—,88.367,27.276,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,91.660,—,100.000,88.880,100.000,100.000,88.880,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-8.340,—,—,-11.120,12.511,0.000,-11.120,12.511,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,5.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,8.000,6.000,6.000,6.000,6.000,9.000,10.000,10.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,5.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,11.000,13.000,10.000,11.000,10.000,15.000,14.000,10.000,10.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,—,100.000,98.480,96.875,100.000,97.970,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,4.482,—,—,-1.520,-1.630,3.226,-2.030,2.072,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,3.000,4.000,3.000,2.000,4.000,5.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,88.880,100.000,100.000,100.000,85.710,100.000,93.330,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,-3.044,12.511,0.000,0.000,-14.290,16.673,-6.670,7.147,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,2.000,2.000,2.000,3.000,2.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,5.000,6.000,6.000,7.000,7.000,7.000,7.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,3.000,4.000,3.000,2.000,4.000,5.000,4.000,4.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,83.330,100.000,93.330,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,49.993,0.000,0.000,0.000,-16.670,20.005,-6.670,7.147,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
