,,,,,,,,,,
Bangchak Corp PCL (BCP TB) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of THB except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Nitrogen Oxide Emissions,NOX_EMISSIONS,0.399,0.349,0.426,0.644,0.236,0.280,0.459,0.506,0.527
    Growth (YoY),NOX_EMISSIONS,—,-12.531,22.063,51.174,-63.354,18.644,63.886,10.292,4.086
VOC Emissions,VOC_EMISSIONS,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.359
    Growth (YoY),VOC_EMISSIONS,—,-39.104,-13.043,-3.846,0.000,0.400,0.797,18.182,"11,906.689"
Particulate Emissions,PARTICULATE_EMISSIONS,0.008,0.017,0.048,0.005,0.011,0.003,0.004,0.008,0.015
    Growth (YoY),PARTICULATE_EMISSIONS,—,112.500,182.353,-89.583,120.000,-72.727,16.667,115.429,103.581
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.051,0.035,0.075,0.024,0.032,0.027,0.054,0.045,0.039
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-31.373,114.286,-68.000,33.333,-15.625,98.074,-15.389,-13.923
,,,,,,,,,,
Climate Change,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"1,082.120","1,000.530","1,093.650",958.495,"1,071.070",884.296,820.019,929.432,939.045
    Growth (YoY),CO2_SCOPE_1,—,-7.540,9.307,-12.358,11.745,-17.438,-7.269,13.343,1.034
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,118.465,50.996,61.739,44.748,102.894,18.744,17.837,13.545,18.663
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,-56.953,21.066,-27.521,129.941,-81.783,-4.841,-24.062,37.787
GHG Scope 1,GHG_SCOPE_1,"1,083.750","1,091.270","1,094.620",959.273,"1,073.270",886.129,821.961,932.120,941.578
    Growth (YoY),GHG_SCOPE_1,—,0.694,0.307,-12.365,11.884,-17.437,-7.241,13.402,1.015
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,118.465,50.997,61.739,44.748,100.454,18.744,17.950,13.545,18.663
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-56.952,21.064,-27.521,124.488,-81.340,-4.239,-24.539,37.787
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,18.663
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,279.038,"3,660.860","4,468.920","1,919.760"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,"1,211.958",22.073,-57.042
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Energy,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"1,424.220","2,429.310","3,878.770","3,669.690","3,689.420","3,569.330","3,433.940","3,798.580","70,235.703"
    Growth (YoY),ENERGY_CONSUMPTION,—,70.571,59.665,-5.390,0.538,-3.255,-3.793,10.619,"1,748.999"
Renewable Energy Use,RENEW_ENERGY_USE,229.361,361.278,297.417,170.889,232.083,296.556,0.022,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,57.515,-17.676,-42.542,35.809,27.780,-99.993,—,—
Electricity Used,ELECTRICITY_USED,152.083,93.694,102.361,89.500,118.944,104.944,36.817,11.459,14.057
    Growth (YoY),ELECTRICITY_USED,—,-38.393,9.250,-12.564,32.898,-11.770,-64.918,-68.876,22.671
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,0.020,0.019
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,-4.341
Fuel Used - Natural Gas,NAT_GAS_USED,"153,197.000","164,350.000","177,767.000","213,106.000","213,149.000","210,249.000","225,550.000","238,221.000","240,694.000"
    Growth (YoY),NAT_GAS_USED,—,7.280,8.164,19.879,0.020,-1.361,7.278,5.618,1.038
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,28.442,25.514,20.065,0.650,1.609,2.514,"5,750.460","7,170.610","6,943.220"
    Growth (YoY),OIL_DIESEL_USED,—,-10.297,-21.355,-96.762,147.636,56.279,"228,619.273",24.696,-3.171
,,,,,,,,,,
Materials & Waste,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,1.271,6.318,1.571,4.724,2.129,2.671,2.619,1.584,3.435
    Growth (YoY),HAZARDOUS_WASTE,—,397.089,-75.138,200.748,-54.932,25.458,-1.957,-39.496,116.822
Total Waste,TOTAL_WASTE,1.432,7.785,1.903,15.609,5.984,3.161,2.941,1.730,12.724
    Growth (YoY),TOTAL_WASTE,—,443.645,-75.555,720.201,-61.663,-47.171,-6.974,-41.185,635.633
Waste Recycled,WASTE_RECYCLED,0.396,1.153,0.592,4.623,0.577,0.801,1.387,0.912,2.443
    Growth (YoY),WASTE_RECYCLED,—,191.162,-48.656,680.912,-87.519,38.821,73.140,-34.205,167.701
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,0.041,0.011,0.000,0.000,0.015,0.000,0.000,0.000,0.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-73.171,—,—,—,—,—,—,—
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Water,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"2,809.770","2,352.290","2,542.330","2,380.000","2,700.000","2,500.000","2,410.000","2,380.000","2,803.370"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-16.282,8.079,-6.385,13.445,-7.407,-3.600,-1.245,17.789
Total Water Discharged,TOTAL_WATER_DISCHARGED,870.000,800.000,900.000,900.000,770.000,722.000,828.000,899.000,945.000
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-8.046,12.500,0.000,-14.444,-6.234,14.681,8.575,5.117
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,66.000,61.000,61.000,62.000,65.000,70.000,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,-7.576,0.000,1.639,4.839,7.692,—,—,—
,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,
Social,,,,,,,,,,
Community & Customers,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,57.620,37.820,73.610,62.940,64.600,22.620,16.000,25.680,29.550
    Growth (YoY),COMMUNITY_SPENDING,—,-34.363,94.632,-14.495,2.637,-64.985,-29.266,60.500,15.070
,,,,,,,,,,
Diversity,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,33.330,35.950,7.520,36.620,43.450
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,7.861,-79.082,386.968,18.651
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,49.340,39.450,40.050,39.270,40.170,39.970,41.790,41.090,43.040
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,-20.045,1.521,-1.948,2.292,-0.498,4.553,-1.675,4.746
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,27.190,29.180,30.160,29.740,30.620,30.570,31.190,31.510,34.713
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,7.319,3.358,-1.393,2.959,-0.163,2.028,1.026,10.164
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,0.480,1.030,1.030,0.970,0.990,0.000,0.000
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,114.583,0.000,-5.825,2.062,—,—
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,98.000,98.000,94.000
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,—,0.000,-4.082
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,92.000,100.000,98.000,97.000,98.000,94.000,95.000,95.000
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,8.696,-2.000,-1.020,1.031,-4.082,1.064,0.000
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,100.000,—,—,-16.970,-15.660,-8.030,-16.570
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,7.719,48.723,-106.351
,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Health & Safety,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,0.036,0.000,0.109,0.060,0.052,0.072,0.220,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,-44.954,-13.333,38.462,205.556,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.026,0.000,0.100,0.044,0.039,0.072,0.100,0.000
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,-56.000,-11.364,84.615,38.889,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,1.076,0.482,0.127,0.242,0.000,0.086,0.000,0.190,0.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-55.204,-73.651,90.551,—,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.236,0.145,0.000,0.219,0.152,0.076,0.284,0.220,1.500
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-88.269,—,—,-30.594,-50.000,273.684,-22.535,581.818
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.237,0.028,0.227,0.111,0.098,0.363,0.200,0.750
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-88.186,710.714,-51.101,-11.712,270.408,-44.904,275.000
,,,,,,,,,,
Human Capital,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,129.000","1,196.000","1,240.000","1,254.000","1,251.000","1,230.000","1,103.000","1,098.000","1,184.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,2.670,3.200,4.000,3.550,5.360,3.160,5.130,4.500,2.990
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,19.850,25.000,-11.250,50.986,-41.045,62.342,-12.281,-33.556
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,20.000,55.000,50.400,—,27.760,43.000,41.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,175.000,-8.364,—,—,54.899,-4.651
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,44.500,23.290,15.940,17.480,28.210
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,-47.663,-31.559,9.661,61.383
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"42,902.000","53,741.000","55,926.000","57,487.000","56,449.000","28,650.000","30,869.699","31,929.801","42,333.602"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,25.265,4.066,2.791,-1.806,-49.246,7.748,3.434,32.583
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Governance,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,3.000,3.000,3.000,3.000,4.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,4.000,3.000,3.000,3.000,3.000,4.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,13.000,12.000,13.000,12.000,12.000,12.000,12.000,12.000,13.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,97.430,83.330,96.150,95.120,97.220,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,-14.472,15.385,-1.071,2.208,2.859,0.000,0.000,0.000
,,,,,,,,,,
Board Composition,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,15.000,15.000,15.000,15.000,15.000,14.000,13.000,15.000,15.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.000,14.000,13.000,17.000,22.000,18.000,8.000,10.000,11.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,14.000,14.000,14.000,14.000,14.000,13.000,12.000,14.000,14.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,17.000,19.000,18.000,15.000,12.000,15.000,12.000,13.000,15.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.190,87.540,91.760,94.760,96.610,97.890,98.860,97.920,99.090
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-8.993,4.821,3.269,1.952,1.325,0.991,-0.951,1.195
,,,,,,,,,,
Compensation,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,8.000,4.000,5.000,7.000,4.000,3.000,9.000,5.000,7.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,96.960,80.000,96.290,93.990,82.350,91.660,100.000,94.440,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,-17.492,20.363,-2.389,-12.384,11.305,9.099,-5.560,5.887
,,,,,,,,,,
Diversity,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,2.000,5.000,5.000,0.000,1.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,1.000,1.000,1.000,1.000,1.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,48.000,50.000,51.000,47.000,48.000,49.000,49.000,49.000,50.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,70.000,71.000,72.000,73.000,73.000,74.000,76.000
,,,,,,,,,,
Independence,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,9.000,10.000,10.000,9.000,8.000,8.000,10.000,11.000
,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,8.000,4.000,5.000,7.000,4.000,3.000,9.000,5.000,7.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,96.960,80.000,96.290,93.990,82.350,91.660,100.000,94.440,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,-17.492,20.363,-2.389,-12.384,11.305,9.099,-5.560,5.887
,,,,,,,,,,
Sustainability Governance,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Tenure,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,
