,,,,,,,,,,,
Suncor Energy Inc (SU CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,0.500,0.500,0.800,0.680,0.670,0.740,0.760,0.510,0.390,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,-37.500,0.000,60.000,-15.000,-1.471,10.448,2.703,-32.895,-23.529,—
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,96.000,96.000,96.000,96.000,96.000,96.000,97.000,95.000,96.000,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,5.611,0.000,0.000,0.000,0.000,0.000,1.042,-2.062,1.053,—
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,100.000,97.000,96.000,96.000,97.000,—
    Growth (YoY),PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,—,-3.000,-1.031,0.000,1.042,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.096,0.015,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),POLITICAL_DONATIONS,30.245,-84.310,-80.000,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,3.000,0.000,0.000,0.000,0.000,0.000,—,—,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,0.000,0.000,1.000,0.000,1.000,—,—,—,—
Fatalities - Total,FATALITIES_TOTAL,5.000,0.000,0.000,1.000,0.000,1.000,3.000,2.000,2.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.050,0.050,0.040,0.030,0.050,0.050,0.060,0.060,0.070,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-16.667,0.000,-20.000,-25.000,66.667,0.000,20.000,0.000,16.667,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.040,0.040,0.050,0.040,0.030,0.040,0.060,0.030,0.060,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-33.333,0.000,25.000,-20.000,-25.000,33.333,50.000,-50.000,100.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.040,0.040,0.030,0.040,0.050,0.060,0.040,0.060,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.000,-25.000,33.333,25.000,20.000,-33.333,50.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.370,0.270,0.240,0.300,0.350,0.330,0.260,0.430,0.350,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,15.625,-27.027,-11.111,25.000,16.667,-5.714,-21.212,65.385,-18.605,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.500,0.560,0.380,0.450,0.420,0.440,0.360,0.370,0.370,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-30.556,12.000,-32.143,18.421,-6.667,4.762,-18.182,2.778,0.000,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.450,0.330,0.400,0.400,0.400,0.330,0.390,0.370,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-26.667,21.212,0.000,0.000,-17.500,18.182,-5.128,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"14,425.000","13,235.000","13,243.000","12,649.000","17,448.000","18,486.000","17,936.000","17,433.000","16,558.000","14,906.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"3,231.000","2,663.000",757.000,809.000,559.000,534.000,235.000,921.000,713.000,404.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,5.000,7.600,7.000,5.800,6.000,4.800,4.600,6.600,8.320,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,21.951,52.000,-7.895,-17.143,3.448,-20.000,-4.167,43.478,26.061,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,32.400,34.500,34.600,32.800,33.200,31.580,31.780,24.000,25.000,25.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.310,6.481,0.290,-5.202,1.220,-4.880,0.633,-24.481,4.167,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,20.534,5.327,5.849,—,—,—,—,19.540,18.870,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,1.603,-74.058,9.799,—,—,—,—,—,-3.429,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,"347,624.000","305,050.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,-12.247,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,43.000,44.000,45.000,46.000,47.000,1.000,2.000,3.000,4.000,5.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.381,2.326,2.273,2.222,2.174,-97.872,100.000,50.000,33.333,25.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,8.000,5.000,5.000,5.000,4.000,4.000,4.000,5.000,5.000,6.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,8.000,5.000,5.000,5.000,4.000,4.000,4.000,5.000,5.000,6.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,8.000,7.000,6.000,6.000,7.000,7.000,6.000,7.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,95.340,97.430,100.000,100.000,95.230,100.000,100.000,100.000,96.960,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-4.660,2.192,2.638,0.000,-4.770,5.009,0.000,0.000,-3.040,3.135
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,13.000,12.000,12.000,11.000,10.000,10.000,11.000,11.000,11.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,7.000,7.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,11.000,11.000,10.000,9.000,9.000,10.000,10.000,11.000,12.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,6.000,8.000,8.000,6.000,7.000,10.000,8.000,16.000,10.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.460,97.160,90.460,100.000,97.000,96.870,99.000,100.000,99.300,97.500
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-1.540,-1.320,-6.896,10.546,-3.000,-0.134,2.199,1.010,-0.700,-1.813
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,7.000,5.000,5.000,4.000,4.000,4.000,5.000,4.000,6.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,7.000,5.000,5.000,4.000,4.000,4.000,5.000,4.000,6.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,92.330,100.000,100.000,94.440,100.000,95.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,-7.670,8.307,0.000,-5.560,5.887,-5.000,5.263,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,2.000,3.000,2.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,3.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,47.000,48.000,49.000,50.000,51.000,47.000,48.000,49.000,50.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,72.000,73.000,72.000,71.000,72.000,70.000,71.000,72.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,12.000,11.000,11.000,10.000,9.000,9.000,10.000,10.000,11.000,12.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,7.000,5.000,5.000,4.000,4.000,3.000,4.000,4.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,7.000,5.000,5.000,4.000,4.000,3.000,4.000,4.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,5.000,6.000,5.000,5.000,5.000,5.000,7.000,6.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,90.320,100.000,100.000,100.000,94.110,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-9.680,10.717,0.000,0.000,-5.890,6.259,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
