,,,,,,,,
Shelf Drilling Ltd (SHLF NO) - Overview,,,,,,,,
,,,,,,,,
In Millions of USD except Per Share,,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,-5.029,4.225,17.359
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,0.000,0.000,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,0.873,1.082,1.462
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,23.940,35.120
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,0.000,0.000,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,94.642,93.938,86.615,0.000,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,-0.744,-7.796,—,—
,,,,,,,,
Materials & Waste,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Supply Chain,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,
Water,,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,Yes,Yes,n/a
,,,,,,,,
Social,,,,,,,,
Community & Customers,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Diversity,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,10.000,15.000,14.000,13.000,14.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,50.000,-6.667,-7.143,7.692
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,25.000,26.000,32.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,4.000,23.077
,,,,,,,,
Ethics & Compliance,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Health & Safety,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.000,—,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,0.000,—,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000,0.000,1.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.000,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.000,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.060,0.000,0.020,0.040,0.020
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,100.000,-50.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,0.120
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.250,0.230,0.190,0.190,0.160,0.160,0.120
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-8.000,-17.391,0.000,-15.789,0.000,-25.000
,,,,,,,,
Human Capital,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,929.000","3,000.000","3,400.000","3,200.000","3,105.000","3,867.000","4,200.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"1,033.000","1,148.000",635.000,380.000,484.000,961.000,734.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,1.400,3.050,2.670,2.530,5.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,117.857,-12.459,-5.243,97.628
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"41,848.000","30,947.000","56,756.000","70,977.000","91,148.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,-26.049,83.397,25.056,28.419
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,
Supply Chain,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,
Governance,,,,,,,,
Audit Risk & Oversight,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.000,7.000,8.000,9.000,10.000,11.000,12.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,16.667,14.286,12.500,11.111,10.000,9.091
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,6.000,9.000,10.000,9.000,8.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,100.000,88.880,97.500,97.220,96.870,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,-11.120,9.698,-0.287,-0.360,3.231
,,,,,,,,
Board Composition,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,13.000,11.000,10.000,10.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,5.000,5.000,4.000,4.000,4.000,4.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,4.000,4.000,10.000,9.000,10.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,9.000,11.000,6.000,10.000,11.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,87.750,81.670,96.960,92.660,89.090,97.010
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-6.929,18.722,-4.435,-3.853,8.890
,,,,,,,,
Compensation,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,—,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,0.000,0.000,1.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,4.000,4.000,4.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,
Diversity,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,30.000,31.000,32.000,44.000,45.000,46.000,43.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,77.000,78.000,79.000,80.000,81.000,82.000,83.000
,,,,,,,,
Independence,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,—,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,
Nominations & Governance Oversight,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,0.000,3.000,4.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,0.000,1.000,3.000,3.000,1.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,0.000,2.000,3.000,1.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,0.000,0.000,0.000
,,,,,,,,
Sustainability Governance,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Tenure,,,,,,,,
,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,
