,,,,,,,,,,,
Phillips 66 (PSX US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,0.160,0.130,0.160,0.160,0.130,0.120,0.110,0.130
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,-18.750,23.077,0.000,-18.750,-7.692,-8.333,18.182
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.190,0.190,0.150,0.150,0.140,0.150,0.110,0.120,0.110,0.120
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.000,-21.053,0.000,-6.667,7.143,-26.667,9.091,-8.333,9.091
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"14,000.000","14,000.000","14,800.000","14,600.000","14,200.000","13,800.000","13,600.000","13,300.000","12,200.000","13,700.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,5.000,3.000,3.000,4.000,2.000,4.000,7.000,5.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-40.000,0.000,33.333,-50.000,100.000,75.000,-28.571
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,34.000,35.000,34.000,34.000,35.000,35.000,30.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,2.941,-2.857,0.000,2.941,0.000,-14.286
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,"772,200.000","728,000.000","585,000.000","780,900.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,-5.724,-19.643,33.487
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,5.000,5.000,4.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,5.000,5.000,4.000,5.000,5.000,5.000,5.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,12.000,12.000,11.000,11.000,12.000,9.000,11.000,9.000,9.000,10.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,90.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,10.000,10.000,9.000,10.000,11.000,11.000,13.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,7.000,6.000,7.000,7.000,7.000,8.000,8.000,8.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,9.000,9.000,8.000,9.000,10.000,10.000,11.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.000,8.000,6.000,6.000,6.000,6.000,6.000,7.000,7.000,10.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,90.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,5.000,5.000,6.000,6.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,5.000,5.000,6.000,6.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,90.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,3.000,3.000,3.000,3.000,5.000,5.000,5.000,5.000
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,56.000,57.000,58.000,59.000,60.000,61.000,57.000,58.000,59.000,60.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,67.000,68.000,69.000,70.000,71.000,72.000,73.000,74.000,75.000,76.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,7.000,9.000,9.000,8.000,9.000,10.000,10.000,11.000,11.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,5.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,90.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
