,,,,,,,,,,,
AGL Energy Ltd (AGL AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,12.144,3.384,0.000,4.637,4.432,6.890,0.000,0.000,3.363,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,76.219,76.219,76.219,76.219,76.219,76.219,76.219,78.718,78.718,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,2.635,0.000,0.000,0.000,0.000,0.000,0.000,3.278,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,94.077,78.100,76.089,76.881,75.900,75.775,74.295,73.631,63.517,—
    Growth (YoY),NOX_EMISSIONS,260.071,-16.983,-2.576,1.042,-1.276,-0.166,-1.953,-0.893,-13.737,—
VOC Emissions,VOC_EMISSIONS,0.852,0.753,0.697,0.641,0.649,0.599,0.638,0.614,0.371,—
    Growth (YoY),VOC_EMISSIONS,81.955,-11.605,-7.491,-7.994,1.242,-7.618,6.398,-3.719,-39.588,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,6.704,6.190,7.607,6.556,6.816,9.062,7.744,6.369,4.465,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,132.853,-7.671,22.885,-13.813,3.961,32.957,-14.543,-17.760,-29.894,—
Particulate Emissions,PARTICULATE_EMISSIONS,4.891,2.510,6.707,4.641,6.763,4.801,1.049,6.125,5.297,—
    Growth (YoY),PARTICULATE_EMISSIONS,58.523,-48.686,167.215,-30.812,45.731,-29.001,-78.149,483.798,-13.516,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,167.282,153.300,135.300,133.340,120.642,114.570,120.831,123.005,106.382,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,177.981,-8.358,-11.742,-1.449,-9.523,-5.033,5.465,1.799,-13.514,—
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"40,064.398","39,334.699",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,-1.821,—,—
GHG Scope 1,GHG_SCOPE_1,"38,346.000","43,259.000","43,442.000","43,097.000","42,727.000","42,227.000","40,209.000","39,512.699","34,800.000","32,900.000"
    Growth (YoY),GHG_SCOPE_1,95.424,12.812,0.423,-0.794,-0.859,-1.170,-4.779,-1.732,-11.927,-5.460
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,496.000,527.000,489.000,478.000,521.000,514.000,461.933,538.965,440.000,260.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,62.092,6.250,-7.211,-2.249,8.996,-1.344,-10.130,16.676,-18.362,-40.909
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,461.817,538.875,400.000,250.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,16.686,-25.771,-37.500
GHG Scope 3,GHG_SCOPE_3,—,"31,400.000","29,800.000","28,200.000","26,300.000","26,200.000","25,867.699","53,848.199","25,000.000","25,900.000"
    Growth (YoY),GHG_SCOPE_3,—,—,-5.096,-5.369,-6.738,-0.380,-1.268,108.168,-53.573,3.600
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.960,0.980,0.970,0.950,0.940,0.950,0.940,0.920,0.940
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,2.083,-1.020,-2.062,-1.053,1.064,-1.053,-2.128,2.174
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"119,684.000","135,257.000","136,235.000","135,188.000","134,377.000","131,809.000","126,468.000","118,155.000",—,—
    Growth (YoY),ENERGY_CONSUMPTION,91.805,13.012,0.723,-0.769,-0.600,-1.911,-4.052,-6.573,—,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,114.918,125.291,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,9.026,—,—
Electricity Used,ELECTRICITY_USED,419.722,455.833,426.667,425.556,469.722,478.889,572.734,556.741,—,—
    Growth (YoY),ELECTRICITY_USED,50.348,8.604,-6.398,-0.260,10.378,1.952,19.596,-2.792,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,4.480,4.557,5.106,—,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,1.719,12.047,—,—,—
Fuel Used - Coal/Lignite,COAL_USED,"16,718.500","18,508.500","18,528.699","18,390.500","18,383.699","18,064.699","17,160.801","16,967.500",—,—
    Growth (YoY),COAL_USED,103.228,10.707,0.109,-0.746,-0.037,-1.735,-5.004,-1.126,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"551,958.000","823,538.000","911,705.000","894,296.000","831,602.000","801,750.000","691,577.000","469,152.000",—,—
    Growth (YoY),NAT_GAS_USED,-7.493,49.203,10.706,-1.909,-7.010,-3.590,-13.742,-32.162,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,49.786,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,2.435,1.343,1.548,4.461,3.084,3.548,3.466,3.105,5.484,4.046
    Growth (YoY),HAZARDOUS_WASTE,65.646,-44.846,15.264,188.178,-30.868,15.045,-2.311,-10.415,76.618,-26.222
Total Waste,TOTAL_WASTE,866.232,750.879,166.654,"3,509.770","3,478.410","3,703.040","3,075.270","3,184.660","2,770.820","2,357.440"
    Growth (YoY),TOTAL_WASTE,272.627,-13.317,-77.805,"2,006.022",-0.894,6.458,-16.953,3.557,-12.995,-14.919
Waste Recycled,WASTE_RECYCLED,4.775,6.888,3.082,3.851,5.934,6.248,5.565,5.187,7.843,82.742
    Growth (YoY),WASTE_RECYCLED,63.527,44.251,-55.256,24.951,54.090,5.292,-10.931,-6.792,51.205,954.979
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"86,223.797","97,050.203","95,933.297","88,520.602","87,711.297","117,817.000","123,777.000","66,267.203","60,834.801","93,601.898"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,152.219,12.556,-1.151,-7.727,-0.914,34.324,5.059,-46.462,-8.198,53.862
Total Water Discharged,TOTAL_WATER_DISCHARGED,0.000,0.001,0.000,0.000,0.000,2.438,1.575,0.000,0.000,0.000
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,-35.398,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.102,2.870,3.198,4.283,4.234,4.082,3.511,2.550,3.618,5.128
    Growth (YoY),COMMUNITY_SPENDING,-5.814,"2,726.652",11.417,33.933,-1.130,-3.586,-13.984,-27.367,41.843,41.735
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,—,—,—,—,"7,731.000","5,973.000","4,873.000","5,012.000","8,111.000"
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,35.000,31.000,38.000,42.000,38.000,38.000,36.000,35.000,33.000,36.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,34.615,-11.429,22.581,10.526,-9.524,0.000,-5.263,-2.778,-5.714,9.091
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,32.000,34.000,37.000,36.000,37.000,37.000,35.000,34.000,30.000,36.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,-3.030,6.250,8.824,-2.703,2.778,0.000,-5.405,-2.857,-11.765,20.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,30.000,30.000,31.000,31.000,32.900,33.000,34.000,35.000,35.000,36.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-11.765,0.000,3.333,0.000,6.129,0.304,3.030,2.941,0.000,2.857
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,1.880
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,29.100,29.300
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,0.687
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),POLITICAL_DONATIONS,-61.451,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.540,0.480,0.280,0.240,0.140,0.260,0.280,0.180,0.340,0.500
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-3.571,-11.111,-41.667,-14.286,-41.667,85.714,7.692,-35.714,88.889,47.059
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.260,0.760,0.380,0.220,0.120,0.120,0.160,0.220,0.340,0.200
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-38.095,192.308,-50.000,-42.105,-45.455,0.000,33.333,37.500,54.545,-41.176
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.560,0.300,0.240,0.140,0.200,0.240,0.200,0.560,0.380
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,-46.429,-20.000,-41.667,42.857,20.000,-16.667,180.000,-32.143
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.820,0.860,0.400,0.240,0.420,0.520,0.340,0.300,0.480,0.540
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,10.811,4.878,-53.488,-40.000,75.000,23.810,-34.615,-11.765,60.000,12.500
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.560,2.180,1.080,0.940,1.200,0.820,0.600,0.600,0.700,1.000
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-28.205,289.286,-50.459,-12.963,27.660,-31.667,-26.829,0.000,16.667,42.857
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.820,1.240,0.620,0.480,0.720,0.660,0.460,0.420,0.560,0.700
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,51.220,-50.000,-22.581,50.000,-8.333,-30.303,-8.696,33.333,25.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"3,537.000","3,358.000","3,470.000","3,714.000","3,750.000","4,167.000","4,398.000","3,897.000","3,881.000","4,295.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,"5,313.000","5,156.000","5,497.000","5,454.000","5,230.000","5,979.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,15.000,19.000,15.000,14.000,17.000,11.000,14.000,26.000,19.000,13.400
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-16.667,26.667,-21.053,-6.667,21.429,-35.294,27.273,85.714,-26.923,-29.474
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,56.520,54.620,52.230,50.510,47.900,44.190,47.910,43.070,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-3.362,-4.376,-3.293,-5.167,-7.745,8.418,-10.102,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"146,703.000","184,475.000","63,651.000","116,345.000","105,597.000","192,917.000","169,315.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,25.747,-65.496,82.786,-9.238,82.692,-12.234
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,—,0.000,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,—,—,6.000,7.000,8.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,—,—,—,16.667,14.286
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,6.000,4.000,4.000,4.000,4.000,4.000,3.000,6.000,6.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,6.000,4.000,4.000,4.000,4.000,4.000,3.000,6.000,6.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,6.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,94.440,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,4.167,0.000,0.000,0.000,-5.560,5.887,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,9.000,9.000,8.000,8.000,8.000,7.000,7.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,5.000,4.000,8.000,8.000,8.000,8.000,6.000,7.000,8.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,8.000,8.000,7.000,7.000,7.000,6.000,6.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,11.000,17.000,18.000,20.000,15.000,32.000,29.000,22.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.958,96.730,97.200,98.760,96.550,98.330,98.140,97.180,84.000,99.231
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.282,-2.252,0.486,1.605,-2.238,1.844,-0.193,-0.978,-13.562,18.132
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,5.000,3.000,4.000,4.000,3.000,4.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,5.000,3.000,4.000,4.000,3.000,4.000,5.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,4.000,6.000,6.000,6.000,5.000,6.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,95.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,6.952,0.000,0.000,0.000,-5.000,5.263,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,0.000,0.000,2.000,2.000,3.000,3.000,3.000,4.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,59.000,59.000,60.000,49.000,50.000,55.000,53.000,54.000,54.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,71.000,72.000,73.000,74.000,75.000,70.000,67.000,67.000,69.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,8.000,7.000,7.000,7.000,6.000,6.000,9.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,7.000,8.000,8.000,7.000,7.000,7.000,6.000,6.000,9.000,9.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,7.000,8.000,8.000,7.000,7.000,7.000,6.000,6.000,9.000,9.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,4.000,5.000,2.000,6.000,3.000,2.000,3.000,3.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,92.857,93.400,97.380,100.000,97.500,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-7.143,0.585,4.261,2.690,-2.500,2.564,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
