,,,,,,,,,,,
Tohoku Electric Power Co Inc (9506 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"31,080.000","32,737.000","31,069.000","33,760.000"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,5.331,-5.095,8.661
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,1.000,1.000,1.000,1.000
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,0.000,0.000,0.000
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,"30,590.000","31,140.000","32,815.000","31,069.000","33,760.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,1.798,5.379,-5.321,8.661
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,0.000,0.000,0.000,0.000
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,1.000,1.000,1.000,1.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,0.000,0.000,0.000
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"8,170.000","8,489.010","13,599.000","14,527.000","16,703.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,3.905,60.195,6.824,14.979
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,2.000,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,No
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"248,418.000","144,035.000","121,061.000","118,857.000","116,891.000","114,451.000","125,190.000","128,248.000","113,309.000","111,239.000"
    Growth (YoY),ENERGY_CONSUMPTION,35.284,-42.019,-15.950,-1.821,-1.654,-2.087,9.383,2.443,-11.649,-1.827
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,188.636,0.000,—,—
Fuel Used - Coal/Lignite,COAL_USED,"7,710.000","8,140.000","7,310.000","8,140.000","7,990.000","8,390.000","8,629.360","9,200.000","8,600.000","7,980.000"
    Growth (YoY),COAL_USED,-13.371,5.577,-10.197,11.354,-1.843,5.006,2.853,6.613,-6.522,-7.209
Fuel Used - Natural Gas,NAT_GAS_USED,"5,644,690.000","5,962,620.000","6,042,100.000","5,763,920.000","5,982,100.000","5,607,680.000","6,277,940.000","8,114.040","7,807.020","8,508.770"
    Growth (YoY),NAT_GAS_USED,"2,210.746",5.632,1.333,-4.604,3.785,-6.259,11.953,-99.871,-3.784,8.989
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,"1,203.070",763.197,843.076,622.997,352.805,222.534,197.627,479.272,522.211,332.230
    Growth (YoY),OIL_DIESEL_USED,-9.095,-36.563,10.466,-26.104,-43.370,-36.924,-11.192,142.513,8.959,-36.380
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,"1,121.000","1,155.000","1,054.000","1,171.000","1,121.000","1,126.000","2,300.000","2,250.000","2,050.000","2,060.000"
    Growth (YoY),TOTAL_WASTE,-7.432,3.033,-8.745,11.101,-4.270,0.446,104.263,-2.174,-8.889,0.488
Waste Recycled,WASTE_RECYCLED,961.000,991.000,975.000,"1,087.000",989.000,"1,036.000","2,150.000","2,070.000","1,450.000","1,860.000"
    Growth (YoY),WASTE_RECYCLED,6.071,3.122,-1.615,11.487,-9.016,4.752,107.529,-3.721,-29.952,28.276
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,160.000,164.000,79.000,84.000,132.000,89.000,150.000,170.000,170.000,190.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-47.541,2.500,-51.829,6.329,57.143,-32.576,68.539,13.333,0.000,11.765
Raw Materials Used,RAW_MAT_USED,110.000,130.000,110.000,130.000,110.000,120.000,120.000,140.000,119.000,129.000
    Growth (YoY),RAW_MAT_USED,-15.385,18.182,-15.385,18.182,-15.385,9.091,0.000,16.667,-15.000,8.403
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"11,740.000","11,110.000","10,690.000","10,410.000","10,400.000","10,730.000","20,842.000","114,783,000.000","108,585,000.000","102,580,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,1.207,-5.366,-3.780,-2.619,-0.096,3.173,94.240,"550,629.297",-5.400,-5.530
Total Water Discharged,TOTAL_WATER_DISCHARGED,"3,260.000","3,320.000","3,320.000","3,000.000","2,880.000","3,180.000","3,050.000","108,383.000","102,650,000.000","96,843,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,0.617,1.840,0.000,-9.639,-4.000,10.417,-4.088,"3,453.541","94,610.425",-5.657
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,0.270,0.232,0.244
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,-14.074,5.172
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,1.400,1.500,1.600,1.600,1.600,1.902,2.115,2.131,2.460,2.870
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,7.143,6.667,0.000,0.000,18.876,11.202,0.741,15.451,16.667
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,7.880,4.220,3.918,3.908
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,-46.447,-7.157,-0.261
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,2.040,2.030,2.070,2.210,2.320,2.460,2.480,2.520
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,-0.490,1.970,6.763,4.977,6.034,0.813,1.613
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,3.000,1.000,2.000,3.000
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,3.000,1.000,2.000,3.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.056,0.026,0.060,0.008
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,-53.571,130.769,-86.667
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,0.390,0.490,0.500,0.550
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,25.641,2.041,10.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"24,536.000","24,285.000","24,771.000","25,058.000","25,032.000","24,870.000","24,717.000","24,833.000","24,528.000","24,234.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,0.670,0.450,0.610,0.850,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,-32.836,35.556,39.344,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,1.122,1.204,1.402
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,7.279,16.506
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,—,"297,592.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,65.000,66.000,67.000,68.000,69.000,70.000,71.000,72.000,73.000,74.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,1.563,1.538,1.515,1.493,1.471,1.449,1.429,1.408,1.389,1.370
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,12.000,12.000,12.000,13.000,13.000,13.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,16.000,16.000,15.000,17.000,17.000,15.000,16.000,16.000,15.000,15.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,—,—,9.000,16.000,12.000,12.000,12.000,6.000,12.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,1.000,2.000,2.000,6.000,6.000,6.000,7.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,12.000,10.000,10.000,11.000,12.000,11.000,11.000,11.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,98.864,99.394
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,0.536
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,4.000,6.000,6.000,6.000,6.000,6.000,6.000,7.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,2.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,—,7.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,97.620,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,2.438
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,1.000,1.000,2.000,3.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,57.000,58.000,59.000,60.000,60.000,61.000,60.000,60.000,62.000,62.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,68.000,69.000,70.000,83.000,84.000,70.000,71.000,68.000,69.000,69.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.000,2.000,2.000,6.000,6.000,6.000,7.000,7.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,4.000,6.000,6.000,6.000,6.000,6.000,6.000,7.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,2.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,—,—,7.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,97.620,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,2.438
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
