,,,,,,,,,,,
Ormat Technologies Inc (ORA US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,8.000,9.000,9.000,9.000,10.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,9.000,5.000,6.000,6.000,6.000,6.000,6.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,8.000,8.000,9.000,9.000,9.000,9.000,8.000,8.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,13.000,7.000,14.000,15.000,10.000,13.000,13.000,12.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,100.000,98.500,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,33.333,-1.500,-23.858,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,5.000,3.000,3.000,8.000,6.000,6.000,3.000,7.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,100.000,100.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,33.333,0.000,-25.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,2.000,2.000,2.000,1.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,43.000,44.000,45.000,51.000,50.000,51.000,50.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,73.000,73.000,74.000,75.000,74.000,75.000,76.000,77.000,76.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,8.000,8.000,9.000,9.000,9.000,9.000,8.000,8.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,3.000,3.000,5.000,3.000,5.000,3.000,2.000,3.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,100.000,100.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,33.333,0.000,-25.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
