,,,,,,,,,,,
TenneT Holding BV (1590Z NA) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,—,2.000,2.000,2.000,1.000,3.000,3.000,3.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,50.000,51.000,52.000,53.000,48.000,49.000,50.000,51.000,50.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,68.000,69.000,70.000,69.000,70.000,65.000,66.000,67.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,—,6.000,6.000,5.000,4.000,7.000,5.000,5.000,5.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,3.000,3.000,3.000,2.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,3.000,3.000,3.000,2.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,5.000,11.000,5.000,6.000,5.000,5.000,5.000,9.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,92.300,100.000,100.000,96.300,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,8.342,0.000,-3.700,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
