,,,,,,,,,,,
Sumitomo Mitsui Financial Group Inc (8316 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,175.443,171.756,165.190,163.409,140.586,4.302,4.353,173.111,181.732,172.559
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-2.323,-2.102,-3.823,-1.078,-13.967,-96.940,1.185,"3,876.820",4.980,-5.048
GHG Scope 1,GHG_SCOPE_1,—,—,16.694,15.671,14.703,13.526,11.405,19.071,15.041,14.142
    Growth (YoY),GHG_SCOPE_1,—,—,—,-6.128,-6.176,-8.007,-15.681,67.216,-21.132,-5.977
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,166.208,163.409,141.424,125.281,118.735,173.111,181.732,172.757
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,-1.684,-13.454,-11.415,-5.225,45.796,4.980,-4.939
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,140.586,126.086,128.216,165.564,151.103,102.742
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,-10.314,1.689,29.129,-8.734,-32.005
GHG Scope 3,GHG_SCOPE_3,19.935,20.247,18.597,18.945,19.628,35.105,22.113,991.088,"1,600.580","1,580.500"
    Growth (YoY),GHG_SCOPE_3,36.888,1.565,-8.149,1.871,3.605,78.852,-37.009,"4,381.925",61.497,-1.255
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,97.000,79.000,—,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,-18.557,—,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,378.803,409.058,415.236,416.261,373.539,352.384,356.885,319.737,417.178,287.652
    Growth (YoY),ENERGY_CONSUMPTION,-7.249,7.987,1.510,0.247,-10.263,-5.663,1.277,-10.409,30.475,-31.048
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,1.000,2.308,19.443,49.418,160.260
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,130.800,742.418,154.169,224.295
Electricity Used,ELECTRICITY_USED,322.946,323.591,326.851,323.731,291.039,275.868,288.600,250.991,322.973,198.090
    Growth (YoY),ELECTRICITY_USED,-0.910,0.200,1.007,-0.955,-10.099,-5.213,4.615,-13.032,28.679,-38.667
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,0.127,0.000,0.083,—
Fuel Used - Natural Gas,NAT_GAS_USED,"2,199.200","2,198.600","2,407.000","2,479.000","2,225.000","1,930.000","2,265.000","2,109.000","2,791.000","2,263.000"
    Growth (YoY),NAT_GAS_USED,-9.832,-0.027,9.479,2.991,-10.246,-13.258,17.358,-6.887,32.338,-18.918
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,2.604,4.424,4.877,4.939,4.221,3.928,2.694,2.403,4.066,4.132
    Growth (YoY),OIL_DIESEL_USED,708.646,69.918,10.230,1.271,-14.537,-6.941,-31.415,-10.802,69.205,1.623
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"2,658.000","2,594.000","2,662.000","2,303.000","2,193.000","6,720.000","6,926.000","7,950.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,-2.408,2.621,-13.486,-4.776,206.430,3.065,14.785
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,33.000,36.000,29.000,29.000,—,—,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,9.091,-19.444,0.000,—,—,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.051,0.050,0.883,0.942,1.086,1.377,2.680,3.126,1.634,1.633
    Growth (YoY),COMMUNITY_SPENDING,-8.929,-1.961,"1,666.000",6.682,15.287,26.796,94.626,16.642,-47.729,-0.061
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,25.800
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,14.600,13.100,14.700,15.200,16.900,17.300,19.200,20.200
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,-10.274,12.214,3.401,11.184,2.367,10.983,5.208
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,26.815,27.964,46.918,47.100,47.160,47.300,47.500,47.800,48.100,48.100
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-15.244,4.285,67.782,0.388,0.128,0.296,0.423,0.632,0.628,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,2.300,2.400,2.500,2.600,2.700,2.700,2.800
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,4.348,4.167,4.000,3.846,0.000,3.704
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"85,073.000","89,981.000","50,957.000","53,182.000","53,053.000","52,578.000","52,383.000","51,493.000","50,552.000","50,543.000"
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,3.934,3.001,4.005,3.945,4.682
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,-23.716,33.456,-1.498,18.682
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"943,379.000","978,402.000","911,530.000","1,058,190.000","1,224,650.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,3.713,-6.835,16.089,15.731
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762,4.545
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,12.000,16.000,15.000,15.000,15.000,16.000,15.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,13.000,14.000,17.000,17.000,15.000,15.000,15.000,15.000,15.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,—,9.000,9.000,11.000,13.000,14.000,14.000,14.000,13.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,12.000,14.000,10.000,11.000,12.000,10.000,10.000,13.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,99.470,100.000,100.000,100.000,100.000,99.465
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,0.533,0.000,0.000,0.000,-0.535
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,8.000,8.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,6.000,6.000,6.000,6.000,7.000,7.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,97.220,97.220,100.000,97.220,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,2.859,-2.780,2.859,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,54.000,55.000,55.000,56.000,55.000,56.000,56.000,57.000,58.000,56.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,73.000,74.000,73.000,73.000,74.000,75.000,76.000,77.000,78.000,75.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,8.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,4.000,5.000,4.000,6.000,5.000,7.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,96.670,100.000,100.000,93.330,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,-3.330,3.445,0.000,-6.670,7.147
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
