,,,,,,,,,,,
Orsted AS (ORSTED DC) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of DKK except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,29.000,30.000,30.000,31.000,31.000,30.000,31.000,33.000,35.000,34.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-3.333,3.448,0.000,3.333,0.000,-3.226,3.333,6.452,6.061,-2.857
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,16.000,14.000,14.000,12.000,10.000,10.000,14.000
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,-12.500,0.000,-14.286,-16.667,0.000,40.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.220,0.240,0.140,0.240,0.320,0.180,0.300,0.260,0.160,0.160
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-35.294,9.091,-41.667,71.429,33.333,-43.750,66.667,-13.333,-38.462,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.540,0.460,0.500,0.340,0.500,0.480,0.220,0.380,0.420,0.400
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-12.903,-14.815,8.696,-32.000,47.059,-4.000,-54.167,72.727,10.526,-4.762
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.360,0.360,0.320,0.300,0.420,0.340,0.260,0.320,0.280,0.300
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,0.000,-11.111,-6.250,40.000,-19.048,-23.529,23.077,-12.500,7.143
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,1.720,1.060,0.940,0.760,0.660,0.360,0.520,0.420,0.320,0.260
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-15.686,-38.372,-11.321,-19.149,-13.158,-45.455,44.444,-19.231,-23.810,-18.750
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.900,1.640,1.580,1.080,1.280,1.080,0.660,0.840,0.880,0.780
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-26.923,-13.684,-3.659,-31.646,18.519,-15.625,-38.889,27.273,4.762,-11.364
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.800,1.360,1.280,0.940,0.980,0.720,0.600,0.620,0.560,0.540
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-24.444,-5.882,-26.563,4.255,-26.531,-16.667,3.333,-9.677,-3.571
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,n/a,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,674.000","5,775.000","5,638.000","6,080.000","6,526.000","6,179.000","6,836.000","8,027.000","8,905.000","8,407.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.000,16.000,13.200,11.200,11.600,8.400,10.600,11.700,9.600,14.300
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,0.000,33.333,-17.500,-15.152,3.571,-27.586,26.190,10.377,-17.949,48.958
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,312.000,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,7.000,6.000,7.000,6.000,8.000,6.000,8.000,10.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,95.000,100.000,90.900,100.000,100.000,100.000,95.650,100.000,94.110
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,5.263,-9.100,10.011,0.000,0.000,-4.350,4.548,-5.890
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,12.000,10.000,11.000,9.000,9.000,11.000,12.000,12.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,6.000,6.000,7.000,7.000,7.000,6.000,11.000,10.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,12.000,10.000,11.000,9.000,9.000,11.000,12.000,11.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,17.000,12.000,11.000,13.000,17.000,17.000,13.000,16.000,15.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,93.000,95.000,94.160,96.740,99.340,96.170,97.080,95.213,94.776
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,2.151,-0.884,2.740,2.688,-3.191,0.946,-1.923,-0.459
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,2.000,3.000,3.000,3.000,5.000,3.000,6.000,3.000,3.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,100.000,100.000,88.890,88.890,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,0.000,0.000,0.000,-11.110,0.000,12.499,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,2.000,2.000,2.000,3.000,3.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,4.000,4.000,4.000,4.000,3.000,2.000,3.000,6.000,6.000,5.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,45.000,46.000,46.000,47.000,48.000,36.000,37.000,28.000,29.000,30.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,67.000,68.000,69.000,70.000,71.000,68.000,69.000,70.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,7.000,5.000,8.000,6.000,6.000,7.000,7.000,7.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,6.000,6.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,3.000,3.000,3.000,3.000,3.000,3.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,3.000,5.000,3.000,3.000,5.000,3.000,6.000,3.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.000,93.000,100.000,100.000,100.000,88.890,88.890,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,-7.000,7.527,0.000,0.000,-11.110,0.000,12.499,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,n/a,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
