,,,,,,,,,,,
Hokkaido Electric Power Co Inc (9509 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,"12,800.000","14,100.000","12,000.000","11,540.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,10.156,-14.894,-3.833
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,1.000,1.000,2.000,2.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,0.000,100.000,0.000
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,"3,830.000","4,750.000","6,290.000","8,150.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,24.021,32.421,29.571
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.688,0.676,0.640,0.678,0.656,0.601,0.549,0.533,0.535,0.541
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,1.028,-1.744,-5.325,5.938,-3.245,-8.384,-8.652,-2.914,0.375,1.121
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"57,992.301","56,683.102","49,288.500","50,675.898","45,103.000","35,462.000","42,507.398","45,308.699","39,098.801",—
    Growth (YoY),ENERGY_CONSUMPTION,-2.997,-2.258,-13.046,2.815,-10.997,-21.376,19.867,6.590,-13.706,—
Fuel Used - Coal/Lignite,COAL_USED,"5,524.000","4,942.000","4,665.000","5,003.000","4,844.000","4,014.000","4,315.000","4,583.000","3,600.000",—
    Growth (YoY),COAL_USED,-0.163,-10.536,-5.605,7.245,-3.178,-17.135,7.499,6.211,-21.449,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,80.000,370.000,450.000,363.000,329.000,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,362.500,21.622,-19.333,-9.366,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,"1,724.410","1,746.410","1,503.410","1,407.320",989.286,639.000,522.101,810.077,896.000,—
    Growth (YoY),OIL_DIESEL_USED,-6.762,1.276,-13.914,-6.391,-29.704,-35.408,-18.294,55.157,10.607,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,"1,111.000","1,142.000","1,119.000","1,146.000","1,103.000",869.000,809.000,857.000,736.000,—
    Growth (YoY),TOTAL_WASTE,-4.389,2.790,-2.014,2.413,-3.752,-21.215,-6.904,5.933,-14.119,—
Waste Recycled,WASTE_RECYCLED,"1,081.000","1,096.000","1,092.000","1,109.000","1,057.000",84.400,759.000,778.000,650.000,—
    Growth (YoY),WASTE_RECYCLED,-5.092,1.388,-0.365,1.557,-4.689,-92.015,799.289,2.503,-16.452,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,31.000,48.000,27.000,37.000,43.000,25.000,49.000,79.000,85.000,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,29.167,54.839,-43.750,37.037,16.216,-41.860,96.000,61.224,7.595,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,No,No,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"5,244.000","4,913.000","4,837.000","4,917.000","4,751.000","4,482.000","4,628.000","4,720.000","4,657.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.410,-6.312,-1.547,1.654,-3.376,-5.662,3.257,1.988,-1.335,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,"3,095.000","2,726.000","2,756.000","2,824.000","3,168.000","2,886.000","2,827.000","2,667.000","2,632.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,-0.032,-11.922,1.101,2.467,12.181,-8.902,-2.044,-5.660,-1.312,—
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,2.290,2.400,2.450,2.380,2.480,2.530
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,4.803,2.083,-2.857,4.202,2.016
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,0.000,0.000,0.000,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,0.182,0.440,0.412,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,141.758,-6.364,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"11,027.000","10,985.000","10,985.000","10,962.000","10,937.000","10,736.000","10,503.000","10,226.000","10,005.000","9,206.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,Yes,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,50.000,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,6.000,6.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,—,—,—,—,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,—,—,—,—,9.000,12.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,14.000,14.000,13.000,12.000,12.000,11.000,15.000,15.000,15.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,—,—,—,—,—,—,12.000,12.000,12.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,1.000,2.000,2.000,2.000,2.000,2.000,2.000,5.000,5.000,5.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,14.000,14.000,14.000,14.000,13.000,14.000,15.000,14.000,14.000,14.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,99.050,99.010
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,-0.040
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,—,2.000,1.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,—,—,—,—,—,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,56.000,57.000,58.000,58.000,58.000,59.000,60.000,60.000,61.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,68.000,69.000,70.000,70.000,71.000,72.000,73.000,78.000,79.000,80.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.000,2.000,2.000,2.000,2.000,2.000,2.000,5.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,—,—,2.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
