,,,,,,,,,,,
Chugoku Electric Power Co Inc/The (9504 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"17,345.100","18,446.000","19,537.600",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,6.347,5.918,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,"21,260.000","20,343.301","19,106.199","17,392.100","18,500.000","19,610.801","18,050.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,-4.312,-6.081,-8.971,6.370,6.004,-7.959
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,0.040,0.049,0.055,0.042,0.039,0.044,0.030
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,22.500,12.245,-23.636,-7.143,12.821,-31.818
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,0.036,0.046,0.035,0.033,0.038,—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,27.778,-23.913,-5.714,15.152,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,"18,360.000","17,141.699","14,241.700","13,398.300","13,204.700","13,010.000","13,273.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,-6.636,-16.918,-5.922,-1.445,-1.474,2.022
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.677,0.636,0.585,0.521,0.536,0.544,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-6.056,-8.019,-10.940,2.879,1.493,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"85,898.797","85,410.797","80,529.602","75,788.203","72,332.500","67,490.000","65,567.898","69,777.000","70,466.000","64,225.199"
    Growth (YoY),ENERGY_CONSUMPTION,-8.318,-0.568,-5.715,-5.888,-4.560,-6.695,-2.848,6.419,0.987,-8.856
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,0.000,0.000,0.000,"3,587.750"
Fuel Used - Coal/Lignite,COAL_USED,"5,820.000","5,571.000","5,900.000","5,877.000","5,774.000","5,700.000","5,262.850","5,503.800","6,452.450","5,483.000"
    Growth (YoY),COAL_USED,7.182,-4.278,5.906,-0.390,-1.753,-1.282,-7.669,4.578,17.236,-15.025
Fuel Used - Natural Gas,NAT_GAS_USED,"5,043.860","4,572.370","4,285.090","4,254.390","4,199.560","3,969.300","4,110.730","2,647,590.000","2,053,430.000","2,942.980"
    Growth (YoY),NAT_GAS_USED,-99.817,-9.348,-6.283,-0.716,-1.289,-5.483,3.563,"64,306.809",-22.442,-99.857
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,"1,571.780","1,494.380","1,214.110",787.138,572.945,302.616,11.371,570.039,583.050,432.560
    Growth (YoY),OIL_DIESEL_USED,-34.559,-4.924,-18.755,-35.167,-27.212,-47.182,-96.243,"4,913.271",2.282,-25.811
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,990.000,965.000,968.000,953.000,882.000,865.000,781.000,851.000,984.000,887.000
    Growth (YoY),TOTAL_WASTE,-3.415,-2.525,0.311,-1.550,-7.450,-1.927,-9.711,8.963,15.629,-9.858
Waste Recycled,WASTE_RECYCLED,971.600,951.300,956.000,942.000,872.000,853.000,769.000,838.000,961.000,846.000
    Growth (YoY),WASTE_RECYCLED,-3.602,-2.089,0.494,-1.464,-7.431,-2.179,-9.848,8.973,14.678,-11.967
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,12.000,11.000,10.000,12.000,12.000,13.000,23.000,40.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,-8.333,-9.091,20.000,0.000,8.333,76.923,73.913
Raw Materials Used,RAW_MAT_USED,157.000,190.000,148.000,111.000,120.000,91.007,93.000,104.000,114.000,107.000
    Growth (YoY),RAW_MAT_USED,-11.798,21.019,-22.105,-25.000,8.108,-24.161,2.190,11.828,9.615,-6.140
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"6,199.000","6,670.000","6,710.000","6,520.000","6,190.000","5,650.000","5,640.000","5,980.000","6,500.000","6,130.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.572,7.598,0.600,-2.832,-5.061,-8.724,-0.177,6.028,8.696,-5.692
Total Water Discharged,TOTAL_WATER_DISCHARGED,"2,660.000","2,580.000","2,720.000","2,790.000","2,670.000","2,420.000","2,400.000","2,370.000","2,980.000","2,810.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,0.758,-3.008,5.426,2.574,-4.301,-9.363,-0.826,-1.250,25.738,-5.705
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.030,0.020,0.000,0.000,0.003,0.003,0.002,0.047,0.053,0.055
    Growth (YoY),COMMUNITY_SPENDING,—,-33.333,—,—,—,0.000,-33.333,"2,225.500",13.696,3.480
Total Corporate Foundation and Other Giving,TOT_CORP_FNDN_&_OTH_GIVING,—,—,—,—,0.000,0.003,0.002,0.004,—,—
    Growth (YoY),TOT_CORP_FNDN_&_OTH_GIVING,—,—,—,—,—,—,-33.333,100.000,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,1.000,1.000,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,1.000,1.000,0.000,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"14,149.000","13,659.000","13,570.000","13,485.000","13,418.000","13,163.000","13,050.000","12,949.000","12,885.000","12,776.000"
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,"307,952.000",—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,47.000,48.000,49.000,50.000,51.000,52.000,53.000,54.000,55.000,56.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.174,2.128,2.083,2.041,2.000,1.961,1.923,1.887,1.852,1.818
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,12.000,16.000,13.000,16.000,17.000,24.000,27.000,33.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,15.000,15.000,15.000,15.000,15.000,13.000,12.000,11.000,12.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,13.000,15.000,17.000,17.000,15.000,14.000,16.000,15.000,15.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,1.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,14.000,13.000,13.000,13.000,13.000,12.000,12.000,14.000,16.000,15.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,100.000,99.000,99.000,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,-1.000,0.000,1.010,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,6.000,6.000,6.000,7.000,7.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,1.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,2.000,3.000,3.000,3.000,2.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,94.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,-6.000,6.383,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,59.000,57.000,58.000,59.000,60.000,61.000,62.000,63.000,62.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,73.000,74.000,75.000,73.000,74.000,75.000,76.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,5.000,5.000,5.000,6.000,6.000,6.000,7.000,7.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,2.000,2.000,1.000,2.000,2.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,100.000,100.000,87.500,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,0.000,0.000,-12.500,14.286
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
