,,,,,,,,,,,
Iberdrola SA (IBE SM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,16.000,16.680,18.960,20.680,20.480,20.360,21.490,24.400,26.100,28.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,1.716,4.250,13.669,9.072,-0.967,-0.586,5.550,13.541,6.967,7.280
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,29.780,30.320,31.820,41.870,32.570,30.600,29.900,28.810,29.920
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,1.813,4.947,31.584,-22.212,-6.049,-2.288,-3.645,3.853
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,23.157,23.720,24.000,23.430,23.360,23.000,23.000,23.000,24.000,24.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-1.460,2.431,1.180,-2.375,-0.299,-1.541,0.000,0.000,4.348,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,1.180,1.490,1.720,1.730,1.750
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,26.271,15.436,0.581,1.156
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,97.300,95.100,93.200,93.300,94.800,94.600
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,-2.261,-1.998,0.107,1.608,-0.211
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,0.900,-2.800,-5.200,-7.300,-7.200,-5.500,-5.800
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,-85.714,-40.385,1.370,23.611,-5.455
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.157,0.130,0.156,0.041,0.063,0.077,0.004,0.061,0.607,0.518
    Growth (YoY),POLITICAL_DONATIONS,204.892,-17.702,20.794,-73.622,52.255,21.870,-94.851,"1,454.947",890.667,-14.772
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,0.000,0.000,0.000,0.000,1.000,4.000,3.000,0.000,1.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,4.000,1.000,1.000,13.000,3.000,4.000,4.000,4.000,7.000,2.000
Fatalities - Total,FATALITIES_TOTAL,5.000,1.000,1.000,13.000,3.000,5.000,8.000,7.000,7.000,3.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.390,0.250,0.350,0.360,0.270,0.260,0.230,0.212,0.204,0.208
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-15.217,-35.897,40.000,2.857,-25.000,-3.704,-11.538,-7.826,-3.774,1.961
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.643,0.340,0.396,0.388,0.368,0.302,0.356
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,-47.123,16.471,-2.020,-5.155,-17.935,17.881
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,1.760,—,—,—,1.340,1.120,0.900,0.780,0.730,0.650
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,11.392,—,—,—,—,-16.418,-19.643,-13.333,-6.410,-10.959
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,0.740,1.040,0.840,0.600,0.630
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,40.541,-19.231,-28.571,5.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"29,597.000","28,860.000","30,591.000","34,255.000","34,078.000","35,374.000","37,127.000","39,955.000","40,721.000","42,276.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,8.813,6.540,7.050,7.800,10.700,6.600,6.100,7.400,9.700,7.300
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,33.733,-25.791,7.798,10.638,37.179,-38.318,-7.576,21.311,31.081,-24.742
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,74.620,74.970,75.100,77.200,78.940,78.700,78.700,78.500,77.600,76.500
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-6.056,0.469,0.173,2.796,2.254,-0.304,0.000,-0.254,-1.146,-1.418
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,9.100
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"1,025,880.000","983,966.000","1,262,810.000","1,507,110.000","2,092,160.000","1,800,000.000","2,000,000.000","2,400,000.000","2,700,000.000","3,100,000.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-14.510,-4.086,28.339,19.346,38.819,-13.965,11.111,20.000,12.500,14.815
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,—,—,38.000,76.000,114.000,186.000,140.000,385.000,384.000,28.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,9.000,10.000,11.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,12.500,11.111,10.000,-90.909,100.000,50.000,33.333,25.000,20.000,16.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,10.000,15.000,13.000,11.000,12.000,12.000,11.000,12.000,15.000,15.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,95.830,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-4.170,4.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,6.000,7.000,7.000,7.000,11.000,12.000,12.000,10.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,13.000,13.000,12.000,12.000,12.000,12.000,13.000,12.000,12.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,8.000,8.000,9.000,8.000,8.000,9.000,8.000,11.000,9.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,98.480
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.520
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,14.000,10.000,7.000,8.000,6.000,7.000,11.000,12.000,10.000,10.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000,1.000,2.000,3.000,3.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,5.000,5.000,5.000,5.000,5.000,6.000,5.000,6.000,6.000,6.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,45.000,46.000,44.000,45.000,46.000,47.000,48.000,49.000,50.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,68.000,69.000,70.000,70.000,69.000,70.000,70.000,71.000,72.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,9.000,10.000,10.000,9.000,10.000,10.000,11.000,10.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,14.000,14.000,9.000,7.000,6.000,9.000,8.000,10.000,13.000,8.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
