,,,,,,,,,,,
Electric Power Development Co Ltd (9513 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,—,—,—,—
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,"53,990.000","53,970.000","53,580.000","47,950.000",—,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,-0.037,-0.723,-10.508,—,—
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,120.000,—,130.000,140.000,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,7.692,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,"53,987.301","55,980.000","53,581.000","47,950.000","48,910.000","44,390.000"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,3.691,-4.285,-10.509,2.002,-9.241
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,117.268,100.000,128.000,137.000,150.000,140.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,-14.725,28.000,7.031,9.489,-6.667
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,154.000,140.000
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,-9.091
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,"22,220.000","13,608.500","13,593.300","13,170.000","13,323.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,-38.756,-0.112,-3.114,1.162
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,2.000,3.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,50.000,—,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.640,0.650,0.660,0.660,0.660,0.650,0.640,0.640,0.610
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,1.563,1.538,0.000,0.000,-1.515,-1.538,0.000,-4.688
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"143,476.000","153,207.000","140,184.000","148,398.000","142,624.000","133,448.000","133,238.000","124,041.000","169,032.000",—
    Growth (YoY),ENERGY_CONSUMPTION,-4.061,6.782,-8.500,5.859,-3.891,-6.434,-0.157,-6.903,36.271,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,150.716,546.000,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,262.271,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,"20,860.000","18,830.000","17,730.000","18,870.000","18,090.000","16,980.000","17,050.000","15,650.000","15,140.000","12,760.000"
    Growth (YoY),COAL_USED,-1.697,-9.732,-5.842,6.430,-4.134,-6.136,0.412,-8.211,-3.259,-15.720
Fuel Used - Natural Gas,NAT_GAS_USED,"172,500.000","116,000.000","160,100.000","164,200.000","130,100.000","96,100.000","56,300.000","1,274,000.000","1,857,000.000","3,571,000.000"
    Growth (YoY),NAT_GAS_USED,0.407,-32.754,38.017,2.561,-20.767,-26.134,-41.415,"2,162.877",45.761,92.299
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,82.085,76.169,77.191,71.497,61.361,72.910,76.684,124.000,357.000,221.000
    Growth (YoY),OIL_DIESEL_USED,-21.199,-7.207,1.342,-7.377,-14.177,18.821,5.176,61.703,187.903,-38.095
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,"2,140.000","2,250.000","2,100.000","2,320.000","2,300.000","2,000.000","2,050.000","1,980.000","1,950.000","1,530.000"
    Growth (YoY),TOTAL_WASTE,-7.759,5.140,-6.667,10.476,-0.862,-13.043,2.500,-3.415,-1.515,-21.538
Waste Recycled,WASTE_RECYCLED,"2,110.000","2,220.000","2,070.000","2,290.000","2,270.000","1,980.000","2,030.000","1,940.000","1,875.900","1,450.440"
    Growth (YoY),WASTE_RECYCLED,-7.048,5.213,-6.757,10.628,-0.873,-12.775,2.525,-4.433,-3.304,-22.680
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,16.000,46.000,75.000,79.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,187.500,63.043,5.333
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"9,470.000","9,502.000","11,123.000","11,311.000","10,302.000","10,312.000","59,270,100.000","60,367,000.000","60,729,800.000","61,275,400.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-14.685,0.338,17.060,1.690,-8.921,0.097,"574,668.231",1.851,0.601,0.898
Total Water Discharged,TOTAL_WATER_DISCHARGED,"3,710.000","3,720.000","3,720.000","3,850.000","3,790.000","3,700.000","4,850.000","4,910.000","4,430.000","3,480.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-4.134,0.270,0.000,3.495,-1.558,-2.375,31.081,1.237,-9.776,-21.445
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,"6,800.000","13,150.000","10,970.000","19,420.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,93.382,-16.578,77.028
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,1.500,1.900,—,—,—,—,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,-21.053,26.667,—,—,—,—,—,—,—,—
Total Corporate Foundation and Other Giving,TOT_CORP_FNDN_&_OTH_GIVING,1.500,1.900,—,—,—,—,—,—,—,—
    Growth (YoY),TOT_CORP_FNDN_&_OTH_GIVING,—,26.667,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,12.017,12.517,12.116,12.832,13.153,13.667
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,4.165,-3.208,5.915,2.501,3.901
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,3.000,—,—,—,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,0.000,0.000,1.000,1.000,—,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000,0.000,1.000,3.000,—,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,0.260,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.060,0.100,0.110,—,0.000,0.100,0.050
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,66.667,10.000,—,—,—,-50.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.260,0.250,0.290,—,0.330,0.210,0.350
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,-3.846,16.000,—,—,-36.364,66.667
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,0.300,0.400,0.300,0.200,0.300,0.200,0.300
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,12.500,-11.111,-46.875,47.059,-28.000,55.556
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"7,285.000","7,225.000","7,231.000","7,204.000","7,190.000","7,262.000","7,156.000","7,146.000","7,078.000","7,083.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,53.190,51.830,51.830,52.530,53.300,52.950,54.180,54.700,55.240,55.650
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.000,-2.557,0.000,1.351,1.466,-0.657,2.323,0.960,0.987,0.742
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,41.000,42.000,43.000,44.000,45.000,46.000,47.000,48.000,49.000,50.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.500,2.439,2.381,2.326,2.273,2.222,2.174,2.128,2.083,2.041
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,—,—,—,—,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,—,—,—,—,10.000,12.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,13.000,14.000,14.000,13.000,14.000,13.000,13.000,16.000,16.000,16.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,16.000,15.000,14.000,16.000,26.000,20.000,25.000,28.000,31.000,38.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,2.000,3.000,3.000,3.000,3.000,3.000,3.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,13.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,13.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,100.000,97.596
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,-2.404
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,3.000,3.000,3.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,—,—,1.000,1.000,1.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,4.000,3.000,5.000,6.000,2.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,59.000,58.000,59.000,57.000,58.000,59.000,60.000,60.000,57.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,78.000,79.000,80.000,81.000,82.000,83.000,84.000,85.000,77.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,2.000,3.000,3.000,3.000,3.000,3.000,3.000,6.000,6.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,3.000,3.000,3.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,—,1.000,1.000,1.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,4.000,3.000,5.000,6.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
