,,,,,,,,,,,
Chubu Electric Power Co Inc (9502 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,4.000,1.000,1.000,1.000,1.000
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,-75.000,0.000,0.000,0.000
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,11.924,10.930,10.565,10.752,—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,-8.336,-3.339,1.770,—
GHG Scope 1,GHG_SCOPE_1,"59,200.000","56,320.000","57,980.000","56,400.000","53,130.000",56.961,112.577,102.258,106.041,—
    Growth (YoY),GHG_SCOPE_1,—,-4.865,2.947,-2.725,-5.798,-99.893,97.639,-9.166,3.699,—
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,80.000,70.000,70.000,20.000,60.000,"2,586.940",181.877,"2,904.560","3,032.880",—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-12.500,0.000,-71.429,200.000,"4,211.567",-92.969,"1,496.991",4.418,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,"2,582.750",174.108,"2,882.850","3,015.980",—
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-93.259,"1,555.783",4.618,—
GHG Scope 3,GHG_SCOPE_3,—,"14,750.000","13,080.000","10,540.000","10,710.000","59,244.699","52,734.301","58,181.000","54,570.000","59,260.000"
    Growth (YoY),GHG_SCOPE_3,—,—,-11.322,-19.419,1.613,453.172,-10.989,10.329,-6.206,8.594
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,2.000,2.000,2.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.494,0.482,0.480,0.472,0.452,0.424,0.377,0.382,0.440,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-2.429,-0.415,-1.667,-4.237,-6.195,-11.085,1.326,15.183,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"247,591.000","234,714.000","238,810.000","234,227.000","225,695.000",467.000,"1,279.140","1,190.790","1,208.800","1,357.000"
    Growth (YoY),ENERGY_CONSUMPTION,—,-5.201,1.745,-1.919,-3.643,-99.793,173.906,-6.907,1.512,12.260
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,0.474,824.886,745.146,786.369,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,"173,926.579",-9.667,5.532,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.474,0.474,0.474,0.474,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,0.000,0.000,0.000,—
Fuel Used - Coal/Lignite,COAL_USED,"10,508.000","10,282.000","10,687.000","11,087.000","10,611.000",—,—,0.000,0.000,—
    Growth (YoY),COAL_USED,—,-2.151,3.939,3.743,-4.293,—,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"27,870.600","25,712.699","15,924,100.000","14,875,200.000","15,421,300.000",6.318,1.845,141.493,421.471,—
    Growth (YoY),NAT_GAS_USED,—,-7.743,"61,830.877",-6.587,3.671,-100.000,-70.799,"7,569.828",197.874,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,164.000,69.000,54.881,204.359,18.442,2.224,1.986,4.160,4.025,—
    Growth (YoY),OIL_DIESEL_USED,—,-57.927,-20.462,272.367,-90.976,-87.939,-10.689,109.440,-3.268,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.000,0.000,0.000,0.000,0.000,—,—,—,—,—
Total Waste,TOTAL_WASTE,"1,724.000","1,396.000","1,425.000","1,325.000","1,568.000",36.000,43.000,46.000,45.000,50.000
    Growth (YoY),TOTAL_WASTE,—,-19.026,2.077,-7.018,18.340,-97.704,19.444,6.977,-2.174,11.111
Waste Recycled,WASTE_RECYCLED,"1,682.000",—,—,—,"1,563.300",34.992,41.796,44.988,43.785,49.150
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,-97.762,19.444,7.637,-2.674,12.253
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,21.000,10.000,13.000,13.000,11.000,—,—,—,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-52.381,30.000,0.000,-15.385,—,—,—,—,—
Raw Materials Used,RAW_MAT_USED,175.000,177.000,175.000,203.000,188.000,—,—,—,—,—
    Growth (YoY),RAW_MAT_USED,—,1.143,-1.130,16.000,-7.389,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"12,170.000","11,530.000","12,083.000","12,268.000","68,843,000.000","52,365,000.000","50,585,000.000","51,257,900.000","50,760,300.000","50,824,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-5.259,4.796,1.531,"561,059.113",-23.936,-3.399,1.330,-0.971,0.125
Total Water Discharged,TOTAL_WATER_DISCHARGED,"4,460.000","4,230.000","4,140.000","3,830.000","68,835,000.000","52,365,000.000","50,584,800.000","51,257,800.000","50,760,200.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-5.157,-2.128,-7.488,"1,797,158.486",-23.927,-3.400,1.330,-0.971,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,86.000,99.000,91.000,—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,15.116,-8.081,—
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,0.077,0.106,0.674,0.637,0.504,0.808,0.769,—,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,37.662,535.849,-5.490,-20.879,60.317,-4.827,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,2.500,2.760,2.790,2.850
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,10.400,1.087,2.151
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,1.000,0.000,0.000,1.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,1.000,2.000,1.000,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,2.000,2.000,1.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,0.042,0.086,0.058,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,104.762,-32.558,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,2.550,2.530,1.510,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,-0.784,-40.316,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"30,848.000","30,659.000","30,635.000","30,554.000","30,321.000","28,448.000","28,238.000","28,365.000","28,367.000","28,374.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,5.570
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,87.200,87.100,86.900,87.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,-0.115,-0.230,0.115
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,1.661,2.079
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,25.184
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,"300,073.000","346,148.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,—,15.355
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,—,—,300.000,345.000,344.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,—,—,—,—,—,—,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,12.000,12.000,12.000,12.000,9.000,9.000,9.000,9.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,11.000,12.000,11.000,11.000,10.000,10.000,11.000,13.000,15.000,15.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,2.000,2.000,2.000,2.000,3.000,3.000,3.000,4.000,4.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,15.000,14.000,14.000,14.000,13.000,14.000,14.000,16.000,25.000,29.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,98.190,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,1.843
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000,6.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,2.000,2.000,3.000,3.000,3.000,4.000,4.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,7.000,8.000,8.000,12.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,59.000,56.000,57.000,57.000,58.000,55.000,56.000,57.000,58.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,76.000,65.000,63.000,64.000,69.000,70.000,71.000,72.000,73.000,74.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,2.000,2.000,2.000,2.000,3.000,3.000,3.000,4.000,4.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,2.000,2.000,3.000,3.000,3.000,4.000,4.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,7.000,8.000,8.000,12.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
