,,,,,,,,,,,
Okinawa Electric Power Co Inc/The (9511 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,Yes,Yes
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,0.020,—,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,"1,520.000","1,510.000","1,440.000","1,560.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,-0.658,-4.636,8.333
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,"17,564.000","17,821.100","18,673.900","17,820.100","16,668.699","16,966.000","16,395.100","16,118.300","16,396.000","15,004.800"
    Growth (YoY),ENERGY_CONSUMPTION,-1.672,1.464,4.785,-4.572,-6.461,1.784,-3.365,-1.688,1.723,-8.485
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,30.000
Fuel Used - Coal/Lignite,COAL_USED,"1,660.000","1,640.000","1,650.000","1,540.000","1,370.000","1,450.000","1,410.000","1,410.000","1,440.000","1,060.000"
    Growth (YoY),COAL_USED,-6.742,-1.205,0.610,-6.667,-11.039,5.839,-2.759,0.000,2.128,-26.389
Fuel Used - Natural Gas,NAT_GAS_USED,"294,943.000","308,350.000","348,569.000","321,756.000","308,350.000",482.456,504.386,526.316,526.316,635.965
    Growth (YoY),NAT_GAS_USED,48.435,4.546,13.043,-7.692,-4.167,-99.844,4.545,4.348,0.000,20.833
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,270.220,290.196,280.189,290.175,290.170,562.149,558.000,539.000,543.000,648.440
    Growth (YoY),OIL_DIESEL_USED,-6.904,7.392,-3.448,3.564,-0.002,93.731,-0.738,-3.405,0.742,19.418
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,119.786,105.629,138.000,131.000,132.000,126.000,133.000,138.584,137.000,101.000
    Growth (YoY),TOTAL_WASTE,-5.771,-11.819,30.646,-5.072,0.763,-4.545,5.556,4.198,-1.143,-26.277
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,127.965,125.000,—,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,-2.317,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,1.000,1.000,2.000,2.000,5.000,3.000,4.000,6.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,0.000,100.000,0.000,150.000,-40.000,33.333,50.000
Raw Materials Used,RAW_MAT_USED,13.202,12.902,14.101,13.702,12.901,13.602,—,—,—,—
    Growth (YoY),RAW_MAT_USED,-5.041,-2.275,9.300,-2.836,-5.839,5.427,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,550.000","1,520.000","1,550.000","1,520.000","1,390.000","1,400.000","1,400.000","1,410.000","1,390.000","1,290.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.899,-1.935,1.974,-1.935,-8.553,0.719,0.000,0.714,-1.418,-7.194
Total Water Discharged,TOTAL_WATER_DISCHARGED,860.000,560.000,550.000,560.000,550.000,530.000,550.000,550.000,510.000,510.000
    Growth (YoY),TOTAL_WATER_DISCHARGED,30.303,-34.884,-1.786,1.818,-1.786,-3.636,3.774,0.000,-7.273,0.000
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,0.007,0.005,0.005,—,—,—,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,40.000,-28.571,0.000,—,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,No,No,No,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,3.700,3.600,3.800,4.500,4.500,4.600,4.600
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,-2.703,5.556,18.421,0.000,2.222,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,1.000,2.760
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,176.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,580.000","2,605.000","2,631.000","3,235.000","3,249.000","3,267.000","3,300.000","2,812.000","3,351.000","3,336.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,42.000,43.000,44.000,45.000,46.000,47.000,48.000,49.000,50.000,51.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,2.381,2.326,2.273,2.222,2.174,2.128,2.083,2.041,2.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,14.000,14.000,14.000,14.000,14.000,12.000,12.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,—,—,—,—,—,10.000,10.000,12.000,12.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,17.000,23.000,20.000,20.000,17.000,16.000,15.000,18.000,21.000,20.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,98.840,98.758,99.074,—,98.558
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,-0.083,0.320,—,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,6.000,6.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,—,—,4.000,4.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,—,1.000,3.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,—,—,—,—,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,51.000,49.000,50.000,50.000,45.000,46.000,47.000,48.000,39.000,40.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,80.000,81.000,82.000,82.000,63.000,64.000,65.000,66.000,67.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,6.000,6.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,—,4.000,4.000,4.000,4.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,—,—,1.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
