,,,,,,,,,,,
Tokyo Electric Power Co Holdings Inc (9501 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—,—
CO2 Scope 1,CO2_SCOPE_1,—,"91,300.000","88,923.000","84,200.000","82,008.000",128.000,127.000,134.000,135.000,141.000
    Growth (YoY),CO2_SCOPE_1,—,—,-2.604,-5.311,-2.603,-99.844,-0.781,5.512,0.746,4.444
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,—,—,"3,700.000","3,500.000","3,100.000",—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,—,—,-5.405,-11.429,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"97,221.602","91,420.797","89,046.000","84,335.000","81,600.000",191.000,190.000,192.000,193.000,194.000
    Growth (YoY),GHG_SCOPE_1,—,-5.967,-2.598,-5.291,-3.243,-99.766,-0.524,1.053,0.521,0.518
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"4,700.000","4,300.000","3,800.000","3,400.000","2,770.000","6,050.000","5,207.000","5,744.000","4,896.000","5,961.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-8.511,-11.628,-10.526,-18.529,118.412,-13.934,10.313,-14.763,21.752
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,200.000,190.000,"3,700.000","3,500.000","2,730.000","6,040.000","5,229.000","5,777.000","4,934.000","5,937.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-5.000,"1,847.368",-5.405,-22.000,121.245,-13.427,10.480,-14.592,20.328
GHG Scope 3,GHG_SCOPE_3,—,"2,921.090","27,934.000","46,378.000","42,355.000","116,460.000","108,896.000","101,946.000","106,073.000","115,451.000"
    Growth (YoY),GHG_SCOPE_3,—,—,856.287,66.027,-8.674,174.962,-6.495,-6.382,4.048,8.841
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,2.000,2.000,2.000,2.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.496,0.491,0.474,0.462,0.455,0.441,0.434,0.452,0.376,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,-4.798,-1.008,-3.462,-2.532,-1.515,-3.077,-1.587,4.147,-16.814,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Energy,,,,,,,,,,,
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,"122,208.000","421,297.000","408,971.000","1,555.260","3,438.050","3,412.110","3,495.840","3,083.850"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,244.738,-2.926,-99.620,121.060,-0.754,2.454,-11.785
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,53.900,53.400,45.000,53.200,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,-0.928,-15.730,18.222,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.000,0.000,0.225,—,0.251
Fuel Used - Coal/Lignite,COAL_USED,—,—,"8,140.000","8,306.000","8,145.000",—,—,—,—,—
    Growth (YoY),COAL_USED,—,—,—,2.039,-1.938,—,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,"2,540,000.000","2,350,000.000","2,090,000.000",—,—,100.279,200.557,—
    Growth (YoY),NAT_GAS_USED,—,—,—,-7.480,-11.064,—,—,—,99.999,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,"2,140.000",982.000,558.000,47.075,42.922,47.070,46.970,44.000
    Growth (YoY),OIL_DIESEL_USED,—,—,—,-54.112,-43.177,-91.564,-8.823,9.664,-0.212,-6.323
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,19.000,25.000,27.000,25.000,26.000,27.000,18.000,21.000
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,31.579,8.000,-7.407,4.000,3.846,-33.333,16.667
Total Waste,TOTAL_WASTE,"1,231.100","1,361.400","1,140.800","1,111.000","1,122.000",158.000,179.000,212.000,152.000,171.000
    Growth (YoY),TOTAL_WASTE,-10.589,10.584,-16.204,-2.612,0.990,-85.918,13.291,18.436,-28.302,12.500
Waste Recycled,WASTE_RECYCLED,"1,227.410","1,353.230","1,135.100","1,106.000","1,119.000",158.000,179.000,211.152,151.544,170.487
    Growth (YoY),WASTE_RECYCLED,-10.499,10.251,-16.119,-2.564,1.175,-85.880,13.291,17.962,-28.230,12.500
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,3.100,7.800,5.200,5.000,3.000,—,1.000,1.000,1.000,1.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-43.636,151.613,-33.333,-3.846,-40.000,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"50,965,200.000","55,301,000.000","52,935,300.000","50,038,100.000","51,300,400.000","52,787,100.000","50,621,400.000","41,352,700.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,8.507,-4.278,-5.473,2.523,2.898,-4.103,-18.310
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,"50,955,200.000","55,291,400.000","49,125,500.000","46,015,300.000","47,420,200.000","49,463,300.000","47,263,800.000","37,129,300.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,8.510,-11.152,-6.331,3.053,4.309,-4.447,-21.442
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,1.000,1.000,3.000
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,0.000,200.000
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,2.200,—,3.300,3.440,4.200,4.380,5.500,5.500,5.530,5.960
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,4.242,22.093,4.286,25.571,0.000,0.545,7.776
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,12.170,12.220,12.320,13.800,14.050,14.810,14.219,13.400
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,0.411,0.818,12.013,1.812,5.409,-3.993,-5.757
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,2.100,2.270,2.430,2.480,2.560,2.580,2.540,2.610
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,8.095,7.048,2.058,3.226,0.781,-1.550,2.756
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,100.000,100.000,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,—,0.000,—,—
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,100.000,100.000,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,—,0.000,—,—
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,—,—,90.625,90.625,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,—,—,—,—,—,—,0.000,—,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,17.900,17.500
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,-2.235
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,1.000,0.000,1.000,2.000,0.000,2.000,2.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,—,1.000,0.000,1.000,2.000,0.000,2.000,2.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.030,0.032,0.022,0.012,0.036,0.016,0.040,0.052
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,6.667,-31.250,-45.455,200.000,-55.556,150.000,30.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,0.092,0.124,0.120
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,34.783,-3.226
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,0.037,0.017,0.041,0.052
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,-54.054,141.176,26.829
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,0.068,0.088,0.125,0.133
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,29.412,42.045,6.400
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"46,045.000","45,710.000","45,217.000","44,610.000","44,042.000","40,734.000","42,944.000","40,458.000","40,433.000","40,540.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,2.800,3.700,4.300,4.600,5.000,6.000,5.200,5.500
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,32.143,16.216,6.977,8.696,20.000,-13.333,5.769
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,100.000,99.800,99.800,99.800,99.700,99.800,99.600,99.400
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,-0.200,0.000,0.000,-0.100,0.100,-0.200,-0.201
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,0.161,0.235,0.269,0.218,0.360,0.381,0.920
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,45.963,14.468,-18.959,65.138,5.833,141.470
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"110,778.000","82,123.000","81,356.000","50,392.000","107,879.000","105,900.000","290,329.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,-25.867,-0.934,-38.060,114.080,-1.834,174.154
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,46.000,47.000,48.000,49.000,50.000,51.000,52.000,53.000,54.000,55.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.222,2.174,2.128,2.083,2.041,2.000,1.961,1.923,1.887,1.852
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,4.000,5.000,6.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,3.000,3.000,3.000,4.000,5.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,14.000,14.000,11.000,12.000,13.000,16.000,16.000,21.000,21.000,20.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,92.860,97.440,100.000,97.370,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,4.932,2.627,-2.630,2.701,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,48.000,31.000,31.000,33.000,31.000,30.000,28.000,33.000,36.000,35.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,6.000,6.000,6.000,6.000,7.000,6.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,26.000,30.000,25.000,19.000,19.000,21.000,14.000,18.000,19.000,19.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,96.810,97.890,98.900,98.900,100.000,100.000,99.149
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,1.116,1.032,0.000,1.112,0.000,-0.851
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,6.000,5.000,8.000,6.000,6.000,5.000,10.000,7.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,1.000,1.000,0.000,2.000,3.000,2.000,2.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,52.000,52.000,47.000,48.000,49.000,50.000,51.000,53.000,53.000,54.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,74.000,75.000,77.000,78.000,79.000,77.000,74.000,75.000,76.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,6.000,6.000,6.000,6.000,7.000,5.000,5.000,5.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,7.000,7.000,7.000,6.000,6.000,5.000,6.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,4.000,4.000,4.000,4.000,5.000,3.000,3.000,3.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,9.000,8.000,5.000,9.000,8.000,8.000,9.000,4.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,93.940,96.300,100.000,97.920,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,2.512,3.842,-2.080,2.124,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
