,,,,,,,,,,,
Aboitiz Power Corp (AP PM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of PHP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,5.000,5.000,5.000,—,—,5.000,5.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,88.500,80.000,92.000,76.000,—,—,100.000,95.650,90.400,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,-9.605,15.000,-17.391,—,—,—,-4.350,-5.489,10.619
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,18.000,22.000,23.000,24.000,16.000,14.000,11.000,11.000,5.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,3.000,4.000,4.000,4.000,4.000,4.000,6.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,8.000,9.000,11.000,6.000,—,—,9.000,6.000,13.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,85.290,92.590,92.930,88.000,—,—,98.760,100.000,93.000,99.220
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,8.559,0.367,-5.305,—,—,—,1.256,-7.000,6.688
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000,3.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,1.000,1.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,3.000,3.000,—,—,—,2.000,—,—,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,84.375,100.000,100.000,100.000,—,—,90.000,—,—,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,18.519,0.000,0.000,—,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,4.000,6.000,5.000,3.000,4.000,4.000,4.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,53.000,54.000,55.000,56.000,54.000,38.000,39.000,40.000,41.000,42.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,76.000,77.000,78.000,73.000,74.000,75.000,76.000,65.000,66.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,2.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000,3.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,1.000,1.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,3.000,3.000,—,—,—,2.000,—,—,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,84.375,100.000,100.000,—,—,—,90.000,—,—,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,18.519,0.000,—,—,—,—,—,—,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
