,,,,,,,,,,,
Korea Electric Power Corp (015760 KS) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,8.000,7.000,11.000,10.000,13.000,9.000,13.000,13.000,11.000,14.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,81.000,93.940,96.660,100.000,96.300,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,15.975,2.895,3.455,-3.700,3.842,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,14.000,15.000,14.000,12.000,15.000,14.000,15.000,14.000,13.000,14.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,6.000,9.000,12.000,9.000,12.000,12.000,12.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,7.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,15.000,13.000,21.000,14.000,16.000,13.000,15.000,15.000,14.000,18.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.100,94.600,84.600,91.200,85.760,92.220,98.920,96.210,97.330,96.250
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,4.251,-3.568,-10.571,7.801,-5.965,7.533,7.265,-2.740,1.164,-1.110
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,0.000,1.000,1.000,2.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,54.000,54.000,55.000,56.000,50.000,51.000,33.000,34.000,35.000,57.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,73.000,74.000,75.000,76.000,74.000,75.000,69.000,64.000,65.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,7.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,—,—,—,—,—,—,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,—,—,—,—,—,—,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,7.000,2.000,4.000,—,—,—,—,—,—,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.000,94.300,—,—,—,—,—,—,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,-5.700,—,—,—,—,—,—,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
