,,,,,,
JERA Co Inc (1283469D JP) - Overview,,,,,,
,,,,,,
In Billions of JPY except Per Share,,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),ENERGY_CONSUMPTION,—,—,0.197,-1.267,-3.422
Renewable Energy Use,RENEW_ENERGY_USE,—,—,"2,104.820","2,880.870",—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,36.870,—
Electricity Used,ELECTRICITY_USED,—,161.740,86.490,"1,243.770",186.800
    Growth (YoY),ELECTRICITY_USED,—,—,-46.525,"1,338.051",-84.981
Fuel Used - Coal/Lignite,COAL_USED,—,"20,530.000","23,650.000","22,416.199","24,390.000"
    Growth (YoY),COAL_USED,—,—,15.197,-5.217,8.805
Fuel Used - Natural Gas,NAT_GAS_USED,—,"28,860.000","27,430.000","6,600,000.000","6,200,000.000"
    Growth (YoY),NAT_GAS_USED,—,—,-4.955,"23,961.247",-6.061
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,50.000,40.000,44.595,330.000
    Growth (YoY),OIL_DIESEL_USED,—,—,-20.000,11.489,639.987
,,,,,,
Materials & Waste,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,"2,040.000","2,710.000","3,080.000","2,720.000"
    Growth (YoY),TOTAL_WASTE,—,—,32.843,13.653,-11.688
Waste Recycled,WASTE_RECYCLED,—,—,—,—,"2,690.000"
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,13.000,19.000,18.000,19.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,46.154,-5.263,5.556
,,,,,,
Supply Chain,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,Yes,Yes,Yes,Yes
,,,,,,
Water,,,,,,
Water Policy,WATER_POLICY,n/a,No,No,No,No
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"18,700.000","19,150.000","20,180.000","21,250.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,2.406,5.379,5.302
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,"7,510.000","7,190.000","7,300.000","10,680.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,-4.261,1.530,46.301
,,,,,,
Ecological & Biodiversity Impacts,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,No,No,No,No
,,,,,,
Social,,,,,,
Community & Customers,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes
,,,,,,
Diversity,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,6.521,—,—,—
,,,,,,
Ethics & Compliance,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes
,,,,,,
Health & Safety,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,1.000,0.000,0.000,1.000
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000,0.000,—
,,,,,,
Human Capital,,,,,,
Training Policy,TRAINING_POLICY,n/a,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,"4,907.000","5,062.000","5,295.000","5,838.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,100.000,100.000,100.000,100.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,Yes,Yes,Yes,Yes
,,,,,,
Supply Chain,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,Yes,Yes,Yes,Yes
,,,,,,
Governance,,,,,,
Audit Risk & Oversight,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,6.000,7.000,8.000,9.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,16.667,14.286,12.500
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,0.000,0.000,0.000,0.000
,,,,,,
Board Composition,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,Yes,Yes,n/a
Board Size,BOARD_SIZE,—,10.000,10.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,18.000,18.000,22.000,28.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,5.000,5.000,6.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,23.000,26.000,26.000,23.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,99.000,97.000,95.900,94.561
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-2.020,-1.134,-1.397
,,,,,,
Compensation,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,—,—,—,4.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,10.000,10.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,0.000
,,,,,,
Diversity,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,1.000,1.000,1.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,—,1.000,1.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,56.000,57.000,53.000,54.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,68.000,69.000,70.000,66.000
,,,,,,
Independence,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,—,—,—,4.000,4.000
,,,,,,
Nominations & Governance Oversight,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,—,—,4.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,10.000,10.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,0.000
,,,,,,
Sustainability Governance,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,No,No,Yes,Yes
,,,,,,
Tenure,,,,,,
,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,
