,,,,,,,,,,,
Danone SA (BN FP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,3.000,—,3.000,2.000,2.000,1.000,2.000,1.000,1.000,3.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.380,0.400,0.400,0.340,0.320,0.340,0.240,0.250,0.220,0.180
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-17.391,5.263,0.000,-15.000,-5.882,6.250,-29.412,4.167,-12.000,-18.182
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.880,0.700,0.600,0.440,0.340,0.520,0.390,0.350,0.356,0.290
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-20.455,-14.286,-26.667,-22.727,52.941,-25.000,-10.256,1.714,-18.539
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"99,927.000","99,771.000","99,091.000","104,843.000","105,783.000","102,398.000","101,819.000","97,737.000","96,072.000","88,739.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,16.000,17.000,14.000,19.000,20.000,19.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,6.250,-17.647,35.714,5.263,-5.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,78.000,78.000,74.000,74.000,72.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,0.000,-5.128,0.000,-2.703
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"2,329,650.000","2,488,180.000","2,336,260.000","2,517,430.000","2,479,830.000","2,246,180.000","2,532,060.000","2,322,340.000","2,451,040.000","2,090,720.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-9.523,6.805,-6.106,7.755,-1.494,-9.422,12.727,-8.283,5.542,-14.701
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,—,60.000,108.000,195.000,333.000,573.000,309.000,556.000,482.000,541.000
Number Supplier Facilities Audited,SUPPLIER_FACILITIES_AUDITED,109.000,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,22.000,23.000,24.000,25.000,26.000,27.000,28.000,29.000,7.000,8.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,4.762,4.545,4.348,4.167,4.000,3.846,3.704,3.571,-75.862,14.286
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,5.000,6.000,5.000,5.000,5.000,7.000,5.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,94.000,93.000,73.000,80.000,96.420,95.000,100.000,93.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-1.064,-21.505,9.589,20.525,-1.473,5.263,-7.000,7.527,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,15.000,15.000,16.000,16.000,16.000,16.000,16.000,13.000,12.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,12.000,9.000,6.000,6.000,7.000,12.000,14.000,15.000,15.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,13.000,14.000,15.000,14.000,14.000,14.000,13.000,11.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.000,5.000,9.000,6.000,5.000,6.000,12.000,12.000,11.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.000,93.330,88.310,90.620,100.000,94.750,97.500,94.120,88.000,97.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,6.742,-1.758,-5.379,2.616,10.351,-5.250,2.902,-3.467,-6.502,10.227
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,5.000,6.000,6.000,5.000,5.000,8.000,14.000,6.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,94.000,94.000,95.000,100.000,100.000,94.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,20.482,0.000,-6.000,0.000,1.064,5.263,0.000,-6.000,6.383,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,2.000,3.000,2.000,2.000,3.000,4.000,4.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,5.000,7.000,7.000,7.000,7.000,7.000,7.000,6.000,6.000,5.000
Board Age Limit,BOARD_AGE_LIMIT,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,43.000,44.000,45.000,46.000,47.000,48.000,49.000,50.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,71.000,72.000,73.000,68.000,69.000,70.000,70.000,71.000,66.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,11.000,10.000,8.000,8.000,9.000,8.000,9.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,5.000,6.000,6.000,5.000,5.000,8.000,14.000,6.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,94.000,94.000,95.000,100.000,100.000,94.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,20.482,0.000,-6.000,0.000,1.064,5.263,0.000,-6.000,6.383,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
