,,,,
Dole PLC (DOLE US) - Overview,,,,
,,,,
In Millions of USD except Per Share,,FY 2021,FY 2022,FY 2023
,,,,
Energy,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,—,"2,556.180",—
Renewable Energy Use,RENEW_ENERGY_USE,—,76.287,—
Electricity Used,ELECTRICITY_USED,—,254.380,—
Fuel Used - Coal/Lignite,COAL_USED,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,"2,103.840",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,226.723,—
,,,,
Materials & Waste,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,n/a
,,,,
Supply Chain,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,n/a
,,,,
Water,,,,
Water Policy,WATER_POLICY,No,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"84,192.602",—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,180.000,—
,,,,
Ecological & Biodiversity Impacts,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,No,Yes,n/a
,,,,
Social,,,,
Community & Customers,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes
,,,,
Diversity,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,n/a
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,20.000,—,—
,,,,
Ethics & Compliance,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes
,,,,
Health & Safety,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes
,,,,
Human Capital,,,,
Training Policy,TRAINING_POLICY,No,No,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"38,500.000","37,422.000","34,078.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No
,,,,
Supply Chain,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,n/a
,,,,
Governance,,,,
Audit Risk & Oversight,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,16.000,17.000,18.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,6.250,5.882
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,8.000,7.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000
,,,,
Board Composition,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,4.000,4.000,4.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,4.000,6.000,6.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,0.000
,,,,
Compensation,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,2.000,2.000,2.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,8.000,9.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000
,,,,
Diversity,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,50.000,50.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,70.000,71.000
,,,,
Independence,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,6.000,6.000
,,,,
Nominations & Governance Oversight,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,2.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,6.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000
,,,,
Sustainability Governance,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No
,,,,
Tenure,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000
,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,
