,,,,,,,,,,,
Saputo Inc (SAP CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,351.589,322.643,333.317,500.067,519.850,478.876,484.956,422.277,417.340
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,-8.233,3.308,50.027,3.956,-7.882,1.270,-12.925,-1.169
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,525.966,482.145,468.629,396.889,369.574
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,-8.332,-2.803,-15.308,-6.882
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,"24,388.400","21,654.199","13,490.200","13,571.200","14,215.700","21,259.100"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,-11.211,-37.702,0.600,4.749,49.547
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.200,0.193,0.187,0.193,0.230,0.222,0.216,0.205,0.193,0.183
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-3.252,-3.206,2.938,19.201,-3.309,-2.882,-5.053,-5.957,-5.140
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"3,029.700","3,778.310","4,023.830","4,100.080","3,976.140","3,943.920","3,868.750"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,24.709,6.498,1.895,-3.023,-0.810,-1.906
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,14.121,79.809,63.329,58.938,81.035,201.044
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,465.180,-20.649,-6.933,37.490,148.096
Electricity Used,ELECTRICITY_USED,—,—,—,—,996.345,"1,073.220","1,070.600","1,091.790","1,093.190","1,076.660"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,7.716,-0.244,1.979,0.128,-1.512
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,5.093
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,0.000,0.000,0.000
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,"244,309.000","250,381.000","255,104.000","269,408.000","266,150.000","261,016.000"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,2.485,1.886,5.607,-1.209,-1.929
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,17.576,20.654,12.510,11.128,9.415,10.038
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,17.513,-39.432,-11.043,-15.398,6.614
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,0.761,0.764,0.792,0.869,0.833,0.875,0.819,0.825,0.803
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,0.365,3.636,9.824,-4.153,5.000,-6.349,0.678,-2.694
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,22.526,30.612,32.842,46.982,113.349,147.011,133.585,178.984,140.772
    Growth (YoY),TOTAL_WASTE,—,—,35.896,7.285,43.055,141.260,29.698,-9.133,33.985,-21.349
Total Weight of Plastic Packaging Used,TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,—,55.818,64.673
    Growth (YoY),TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,—,—,15.863
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"19,030.000","19,021.000","19,930.000","22,663.000","24,427.500","24,296.600","24,480.600","24,218.400","24,071.699"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,-0.047,4.779,13.713,7.786,-0.536,0.757,-1.071,-0.606
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,"21,410.400","23,851.000","24,455.699","24,162.301","25,525.900","25,897.400"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,11.399,2.535,-1.200,5.644,1.455
Water Consumption,WATER_CONSMPTN,—,—,—,—,"1,192.280",275.000,—,318.300,—,"1,825.650"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,-76.935,—,—,—,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,5.200,5.220,5.350,5.320,5.060,5.190,5.040,5.080,5.000
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,0.385,2.490,-0.561,-4.887,2.569,-2.890,0.794,-1.575
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,No,No,No,No,No,No,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,11.250,11.100,11.210,6.900,8.770,7.490,7.940
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,-1.333,0.991,-38.448,27.101,-14.595,6.008
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,13.000,13.000,15.000,16.000,16.000,21.000,25.000,25.000,24.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,0.000,15.385,6.667,0.000,31.250,19.048,0.000,-4.000
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,31.000
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,28.000,29.000,30.000,28.000,28.000,28.000,28.000,29.000,29.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,3.571,3.448,-6.667,0.000,0.000,0.000,3.571,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.322,0.314,0.392,0.354,0.272,0.322,0.274,0.280,0.248
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-2.484,24.841,-9.694,-23.164,18.382,-14.907,2.190,-11.429
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.996,1.016,0.990,0.964,0.718,0.752,0.724,0.626,0.572
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,2.008,-2.559,-2.626,-25.519,4.735,-3.723,-13.536,-8.626
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"11,700.000","12,500.000","12,800.000","15,000.000","16,800.000","17,200.000","17,300.000","18,600.000","19,200.000","19,600.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,17.000,24.000,23.000,19.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,41.176,-4.167,-17.391
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,40.350,39.000,39.000,36.000,36.000,36.000,35.000,35.000,34.000,34.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-3.346,0.000,-7.692,0.000,0.000,-2.778,0.000,-2.857,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,4.500,5.800,8.200,8.100,9.000,12.100,12.600
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,28.889,41.379,-1.220,11.111,34.444,4.132
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"73,137.000","194,406.000","402,435.000","334,855.000","509,550.000","515,000.000","195,000.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,165.811,107.007,-16.793,52.170,1.070,-62.136
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,24.000,25.000,26.000,27.000,28.000,29.000,30.000,1.000,2.000,3.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,4.348,4.167,4.000,3.846,3.704,3.571,3.448,-96.667,100.000,50.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,4.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,4.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,7.000,7.000,7.000,7.000,7.000,7.000,8.000,8.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,96.420,100.000,100.000,96.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,4.167,0.000,0.000,-3.580,3.713,0.000,-4.000,4.167,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,10.000,10.000,10.000,10.000,10.000,10.000,11.000,10.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,8.000,7.000,10.000,10.000,11.000,4.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,9.000,8.000,8.000,8.000,8.000,9.000,9.000,9.000,9.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,5.000,7.000,8.000,9.000,10.000,12.000,9.000,8.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,98.570,97.500,98.000,99.000,99.000,100.000,99.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,3.093,0.000,-1.430,-1.086,0.513,1.020,0.000,1.010,-1.000,1.010
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,6.000,8.000,5.000,8.000,6.000,7.000,10.000,8.000,8.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,4.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,2.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,4.000,3.000,5.000,5.000,5.000,5.000,5.000,6.000,6.000,6.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,47.000,49.000,50.000,51.000,52.000,53.000,54.000,55.000,56.000,57.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,77.000,78.000,79.000,64.000,65.000,66.000,67.000,68.000,69.000,70.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,9.000,8.000,8.000,8.000,8.000,8.000,8.000,9.000,9.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,6.000,8.000,5.000,8.000,6.000,7.000,10.000,8.000,8.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,4.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
