,,,,,,,,,,,
Kraft Heinz Co/The (KHC US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,0.155,0.130,0.130,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,-16.129,0.000,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Energy Consumption,ENERGY_CONSUMPTION,"4,837.090","4,717.930","4,546.380",—,"4,708.990","4,945.250","4,809.800","4,202.160","3,879.490",—
    Growth (YoY),ENERGY_CONSUMPTION,—,-2.463,-3.636,—,—,5.017,-2.739,-12.633,-7.679,—
Renewable Energy Use,RENEW_ENERGY_USE,38.712,4.234,—,—,3.326,215.098,217.064,493.886,—,—
    Growth (YoY),RENEW_ENERGY_USE,—,-89.063,—,—,—,"6,366.526",0.914,127.530,—,—
Electricity Used,ELECTRICITY_USED,"1,547.790","1,563.170","1,508.880",—,"1,513.980","1,548.510","1,500.540","1,335.020","1,269.950",—
    Growth (YoY),ELECTRICITY_USED,—,0.994,-3.473,—,—,2.281,-3.098,-11.031,-4.874,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,3.326,2.461,3.085,4.540,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,-26.006,25.342,47.164,—,—
Fuel Used - Coal/Lignite,COAL_USED,27.683,11.896,13.273,—,16.677,23.136,23.280,28.400,—,—
    Growth (YoY),COAL_USED,—,-57.027,11.577,—,—,38.727,0.625,21.989,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"305,159.000","298,892.000","281,290.000",—,"287,119.000","288,731.000","280,080.000","227,714.000",—,—
    Growth (YoY),NAT_GAS_USED,—,-2.054,-5.889,—,—,0.561,-2.996,-18.697,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,1.596,7.310,12.196,—,5.245,1.894,2.477,4.518,—,—
    Growth (YoY),OIL_DIESEL_USED,—,357.918,66.850,—,—,-63.884,30.769,82.386,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,0.654,0.628,0.621,0.580,0.578,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,-3.976,-1.115,-6.602,-0.333,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,100.595,92.856,82.617,89.296,90.257,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,-7.693,-11.027,8.084,1.076,—
Total Weight of Plastic Packaging Used,TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,231.392,293.000,235.000,—
    Growth (YoY),TOT_WEIGHT_OF_PLASTIC_PACK_USED,—,—,—,—,—,—,—,26.625,-19.795,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,"41,921.000","41,470.000","39,778.000","32,608.000","30,455.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,-1.076,-4.080,-18.025,-6.603,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,"21,299.000",—,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,"11,308.000",—,—
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,5.380,5.260,5.140,140.000,4.500,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,-2.230,-2.281,"2,623.735",-96.786,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,n/a,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,Yes,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,34.000,—,—,—,—,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,30.000,—,—,34.000,37.000,39.000,41.000,43.000,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,8.824,5.405,5.128,4.878,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,38.000,—,—,37.000,36.000,37.000,37.000,37.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,-2.703,2.778,0.000,0.000,—
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,24.000,—,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,0.140,0.063,0.040,0.035,0.010,0.040,0.122,0.124,—
    Growth (YoY),POLITICAL_DONATIONS,—,—,-54.893,-36.884,-12.500,-71.429,300.000,203.750,2.058,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,1.100,—,—,0.840,0.740,0.620,0.530,0.530,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,-11.905,-16.216,-14.516,0.000,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"42,000.000","42,000.000","39,000.000","38,000.000","38,757.000","38,744.000","37,821.000","38,512.000","37,876.000","36,000.000"
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"646,000.000","1,395,250.000","542,416.000","518,400.000","539,168.000","820,440.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,115.983,-61.124,-4.428,4.006,52.168,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,Yes,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.000,2.000,3.000,4.000,5.000,6.000,—,8.000,9.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.000,50.000,33.333,25.000,20.000,—,—,12.500,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,11.000,11.000,10.000,19.000,9.000,10.000,9.000,9.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,80.000,91.000,82.000,82.000,91.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,6.667,13.750,-9.890,0.000,10.976,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,11.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000,12.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,10.000,8.000,9.000,6.000,8.000,10.000,10.000,11.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,11.000,11.000,11.000,11.000,11.000,10.000,10.000,11.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.000,5.000,5.000,15.000,8.000,8.000,7.000,8.000,11.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,80.000,91.000,82.000,82.000,91.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,0.000,0.000,6.667,13.750,-9.890,0.000,10.976,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,4.000,4.000,3.000,4.000,5.000,5.000,5.000,5.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,4.000,4.000,3.000,4.000,5.000,5.000,5.000,5.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,2.000,3.000,2.000,5.000,4.000,3.000,4.000,6.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,80.000,91.000,82.000,82.000,91.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,6.667,13.750,-9.890,0.000,10.976,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,2.000,1.000,3.000,3.000,3.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,2.000,2.000,1.000,2.000,4.000,4.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,31.000,32.000,33.000,34.000,35.000,50.000,51.000,44.000,45.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,85.000,86.000,87.000,79.000,80.000,81.000,72.000,73.000,74.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,10.000,9.000,9.000,9.000,9.000,10.000,10.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,4.000,6.000,6.000,5.000,4.000,5.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,5.000,4.000,6.000,6.000,5.000,4.000,5.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,4.000,2.000,3.000,5.000,4.000,4.000,5.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,80.000,91.000,82.000,82.000,91.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,6.667,13.750,-9.890,0.000,10.976,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
