,,,,,,,,,,,
Premier Foods PLC (PFD LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,-4.959
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"1,260.000","2,109.000",—,—,—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,67.381,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,—,—,—,—,—,—,—,214.000,463.000,245.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,11.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,-90.909,100.000,50.000,33.333,25.000,20.000,16.667,14.286,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,4.000,4.000,4.000,3.000,3.000,5.000,6.000,6.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,4.000,4.000,3.000,3.000,5.000,6.000,6.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,3.000,3.000,3.000,2.000,6.000,5.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,83.330,100.000,91.670,100.000,94.440,100.000,100.000,100.000,96.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,-16.670,20.005,-8.330,9.087,-5.560,5.887,0.000,0.000,-4.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,7.000,9.000,8.000,8.000,9.000,10.000,12.000,11.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,2.000,2.000,2.000,1.000,2.000,2.000,2.000,2.000,2.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,5.000,7.000,6.000,7.000,7.000,8.000,10.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,15.000,9.000,9.000,10.000,10.000,10.000,11.000,9.000,7.000,6.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.250,93.840,95.710,98.900,98.110,97.770,100.000,100.000,98.700,96.720
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-4.489,1.993,3.333,-0.799,-0.347,2.281,0.000,-1.300,-2.006
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,3.000,5.000,4.000,4.000,3.000,5.000,6.000,6.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,3.000,5.000,4.000,4.000,3.000,5.000,6.000,6.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,10.000,3.000,3.000,5.000,4.000,4.000,4.000,5.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,93.750,100.000,100.000,100.000,90.470,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,-6.250,6.667,0.000,0.000,-9.530,10.534
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,1.000,1.000,1.000,1.000,1.000,2.000,4.000,4.000,4.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,5.000,7.000,6.000,4.000,3.000,6.000,8.000,8.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,5.000,4.000,4.000,6.000,7.000,7.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,5.000,5.000,1.000,3.000,6.000,7.000,7.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,2.000,1.000,2.000,3.000,3.000,2.000,3.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,90.900,100.000,100.000,75.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,-9.100,10.011,0.000,-25.000,33.333,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
