,,,,,,,,,,,
Nestle SA (NESN SW) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CHF except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,176.000,—,120.000,177.471,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,47.892,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,25.500,27.200,30.000,31.800,28.600,29.600,27.200,31.700,34.600,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,6.667,10.294,6.000,-10.063,3.497,-8.108,16.544,9.148,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,34.000,35.400,37.500,43.200,42.000,43.200,43.800,43.790,47.000,47.400
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.890,4.118,5.932,15.200,-2.778,2.857,1.389,-0.023,7.330,0.851
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,30.200,34.600,35.100,37.000,38.000,38.000,38.600,38.600,39.800,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,14.570,1.445,5.413,2.703,0.000,1.579,0.000,3.109,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,-6.200,—,—,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,—,—,—,0.220,0.230,0.210,—,—,—,—
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,4.545,-8.696,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,8.000,1.000,2.000,1.000,4.000,4.000,2.000,4.000,1.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,3.000,0.000,2.000,1.000,1.000,1.000,2.000,—,—
Fatalities - Total,FATALITIES_TOTAL,10.000,4.000,2.000,3.000,5.000,5.000,3.000,6.000,1.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.332,—,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.440,0.394,0.320,0.300,0.256,0.274,0.242,0.234,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-10.455,-18.782,-6.250,-14.667,7.031,-11.679,-3.306,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"335,213.000","328,000.000","323,000.000","308,000.000","275,628.000","268,350.000","276,000.000","275,000.000","275,000.000","277,000.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.500,12.400,13.000,15.700,17.300,19.600,—,—,—,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,6.838,-0.800,4.839,20.769,10.191,13.295,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,54.000,57.000,52.000,53.700,57.000,49.400,54.400,56.300,52.700,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,5.882,5.556,-8.772,3.269,6.145,-13.333,10.121,3.493,-6.394,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"10,592,700.000","12,735,000.000","10,135,400.000","1,382,920.000","6,555,260.000","3,903,900.000","4,360,800.000","2,395,680.000","2,567,000.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-7.404,20.224,-20.413,-86.356,374.016,-40.446,11.704,-45.063,7.151,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Suppliers Audited,SUPPLIERS_AUDITED,"2,250.000",—,—,—,—,—,—,—,—,—
Percentage of Suppliers in Non-Compliance,PCT_OF_SUPPLIERS_IN_NON_COMPL,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.000,8.000,9.000,10.000,11.000,1.000,2.000,3.000,4.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,16.667,14.286,12.500,11.111,10.000,-90.909,100.000,50.000,33.333,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000,4.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,—,—,—,—,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,—,—,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,14.000,13.000,14.000,14.000,14.000,14.000,14.000,14.000,15.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.000,14.000,14.000,12.000,12.000,12.000,13.000,15.000,16.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,12.000,13.000,13.000,13.000,13.000,13.000,13.000,14.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,10.000,11.000,15.000,9.000,10.000,13.000,11.000,8.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.000,100.000,98.000,98.000,94.000,96.420,98.350,99.310,99.120,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-2.000,2.041,-2.000,0.000,-4.082,2.574,2.002,0.976,-0.191,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,5.000,4.000,3.000,3.000,4.000,5.000,6.000,6.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,—,—,—,—,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,—,—,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000,4.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,4.000,4.000,5.000,5.000,4.000,5.000,5.000,5.000,5.000,—
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,59.000,52.000,53.000,54.000,55.000,56.000,55.000,56.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,71.000,72.000,70.000,71.000,72.000,70.000,69.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,12.000,11.000,12.000,12.000,12.000,12.000,12.000,12.000,13.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,5.000,6.000,7.000,5.000,4.000,6.000,5.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,—,—,—,—,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,—,—,—,—,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
