Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.24063,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.04504,8.86452,..,10.29314,11.0127,11.14538,10.98829,10.46949,10.15425,11.41825,..,..,13.72464,..,15.65381,17.37116,18.57795,19.14942,20.87286,21.33784,23.60133,..,29.90938,29.88943,31.21409,32.20153,33.89099,34.48182,36.78132,42.62885,47.64683,51.36567,..,..,..,..,..,..
American Samoa,ASM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.62928,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.48135,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.13419,10.51522,9.8935,10.21304,..,..,..,..,..,..,..,10.59014,10.51871,10.50176,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.71328,..,..,..,..,1.65971,..,1.54412,1.64497,2.2449,2.10469,2.87393,3.14292,2.97663,2.98706,..,2.50616,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162,..,..,..,..,..
Andorra,AND,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.99596,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.09022,5.72269,5.05851,..,..,..,..,..,..,..,..,..,..,2.56712,..,2.60753,..,..,..,..,2.12011,2.28146,..,..,..,3.42132,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.8742,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.58355,0.54828,0.55307,0.54504,0.50501,..,..,..,..,..,0.54972,0.49829,..,..,0.71336,2.635,1.97574,2.43892,2.37982,..,..,..,..,6.1303,..,8.83833,..,8.40094,9.33626,..,..,..,..,..,..,..,..
Anguilla,AIA,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75397,..,..,3.39428,..,..,..,..,..,..,2.51724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.05298,16.72623,15.05922,24.83026,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.6707201,..,..,..,4.282284975,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,5.96426,5.98207,6.23436,6.59681,7.00106,7.55049,8.21546,8.86437,9.30852,9.35179,9.69576,10.27521,10.64377,10.81294,11.0858,11.07237,11.36942,11.39638,11.38137,11.03497,11.06054,10.77585,11.42809,12.34728,12.99277,13.85892,14.78401,15.75999,16.53046,17.93546,18.18479,18.7885,19.60008,19.60643,20.77493,21.8364,22.34389,22.94668,23.70183,24.39759,25.06339,24.50504,25.87412,27.43039,28.61852,30.12533,30.88579,31.76118,32.17385,32.59173,..,..,..,..,..
Argentina,ARG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,5.961,..,..,..,..,..,..,..,..,..,6.74932,..,..,..,..,..,..,..,..,..,..,8.01231,..,..,..,..,..,..,..,..,..,8.77841,..,9.80576,..,..,10.31451,..,10.51253,10.64455,10.69098,10.79015,10.86789,10.96858,10.99034,10.9999,10.99897,..,11.16078,..,..,..,..,..,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,1.45809,..,1.9362,1.78052,1.92352,1.8436,1.16564,1.71984,1.93555,2.40028,2.60715,..,1.59787,1.6175,2.56972,1.36186,1.26155,1.2823,..,1.04612,1.06738,..,..,..,..,..,3.73198,..,4.03987,4.52168,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,..,..,..,..,..,..,..
Argentina,ARG,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.26296,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,13.24435,15.30603,16.48376,19.61808,22.74869,26.97598,27.07182,24.07762,21.38019,22.22991,21.73469,23.10263,23.83,24.83893,28.67647,35.49595,37.42499,39.22065,..,..,..,38.11911,..,..,37.00133,..,..,..,46.9607,48.83172,53.96481,59.01155,62.74873,65.17626,65.48537,63.96667,66.96473,66.41163,68.05695,70.20646,73.2314,76.2974,77.44629,78.2239,80.99581,84.002,87.21345,89.95852,..,..,..,..,..,..,..
Armenia,ARM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.45174,..,..,..,..,..,..,..,..,..,11.30916,..,..,..,11.69998,..,11.30174,..,..,..,..,..,..,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.84843,..,..,2.23519,2.77273,2.46944,2.13504,2.14504,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,..,..,..,..,..,..,..
Armenia,ARM,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.05,..,..,..,..,..,99.45461,..,..,..,..,99.87504,..,..,..,..,99.26774,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5996,..,18.79871,20.4359,23.20482,25.3567,25.34212,23.02764,19.12431,19.08214,16.93857,22.72023,33.57358,35.21241,35.54979,33.5453,36.14686,37.21888,37.88314,39.54677,43.11535,45.93094,48.48933,51.33459,52.98915,53.33778,46.15803,45.73739,47.08219,46.5218,51.08019,52.25153,54.57048,51.48753,..,..,..,..,..
Aruba,ABW,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.56583,..,..,..,..,..,..,..,..,8.64122,..,..,..,..,..,..,..,..,..,8.38881,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.76391,4.39554,4.71468,4.73986,4.92365,..,4.40848,4.68132,..,4.81504,4.99923,5.92479,6.92927,6.11913,6.54906,6.50538,5.90521,5.97571,5.52415,..,..,..,..,..,..,..,..
Aruba,ABW,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.07222,29.65051,29.05586,26.68902,26.752,26.30441,31.68347,30.90319,33.91582,35.24049,35.36232,37.34573,38.72564,37.76113,16.19583,16.40542,15.27177,15.59921,..,..,..,..,..,..,..,..
Australia,AUS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,9.73432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.82016,11.86393,11.97422,12.0655,12.29526,12.35454,12.41071,12.49883,12.70935,12.04686,12.1965,12.27517,12.38612,12.36087,12.50712,..,..,..,..,..,..
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.00891,5.89693,5.65408,..,5.47975,5.37201,..,5.40543,5.28063,5.06994,4.91831,4.74914,4.67634,4.79479,4.69241,5.51652,5.25474,5.14391,5.24097,..,..,..,4.89147,..,..,..,..,4.9103,4.7502,4.66089,4.63776,5.08582,5.55006,5.07451,4.869,5.22974,5.16477,5.31127,5.27678,5.12425,..,..,..,..,..,..,..
Australia,AUS,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,15.81655,17.09435,18.38301,19.59013,21.81735,23.2816,24.0753,24.43743,24.78084,25.00352,25.15469,25.58523,25.64088,26.36246,27.00481,27.91073,29.51505,29.68459,31.49957,32.65396,35.35955,38.31347,39.70084,65.56422,66.97922,70.68857,75.64778,80.90665,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118.61086,120.96571,113.14216,107.80805,..,..,..,..,..,..
Austria,AUT,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,9.61983,..,..,..,..,..,..,..,..,..,10.13896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.58015,..,11.55305,11.49082,11.69434,11.73423,11.7306,11.77063,11.80627,12.0145,12.09431,12.09449,12.1759,..,..,..,..,..,..,..
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,4.14716,4.28235,4.45015,4.51547,4.65594,5.12796,5.23766,4.95401,5.15979,5.03816,5.00897,5.36781,5.36299,5.30378,5.29447,5.29721,5.49996,5.37611,5.19073,5.01817,4.95725,5.10322,5.29698,5.252,..,5.42835,5.2599,..,6.10374,6.11234,5.58881,5.57548,5.52213,5.36183,5.30243,5.24937,5.22652,5.1469,5.26396,5.73025,5.70048,5.59227,5.4804,5.54711,5.44762,5.45658,5.48435,5.35804,..,..,..,..,..,..,..
Austria,AUT,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,12.19837,13.66956,15.1084,15.99359,16.67404,18.54498,19.28278,19.72423,20.42885,21.36817,22.30216,22.46463,22.98781,23.9428,25.52486,26.70454,27.81727,29.37026,30.58759,32.53644,34.69429,37.61071,39.76938,42.2646,44.97695,47.49055,49.56702,52.39628,..,..,..,..,..,..,..,..,63.04729,65.8869,68.11265,75.62378,78.49945,78.93891,79.6554,79.1587,80.71942,83.45495,85.05714,86.68835,..,..,..,..,..,..
Azerbaijan,AZE,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.91747,..,..,..,..,..,..,..,10.43555,10.44655,10.45223,10.46595,10.46714,10.47151,10.47588,10.47768,10.47585,10.5554,10.5446,..,..,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.05797,..,..,3.33737,3.51257,..,3.38002,4.21214,3.85399,3.50342,3.15446,3.28615,3.4477,2.97462,2.55552,2.54928,2.44093,3.22431,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.47382,2.45543,..,..,..,..,..,..
Azerbaijan,AZE,"Completion rate, primary education, both sexes (%)",UIS.CR.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.06,..,..,..,..,..,97.9422,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
