Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.57817377,24.24325882,50.71929787,44.31783924,50.8630046,59.48477588,42.32925145,42.09368445,44.58929949,37.02256957,43.92276561,39.22010998,..,..,..,..,..,..
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.9675335,7.00919125,8.052705822,10.57508247,11.09194916,11.51016072,10.20062464,9.405609332,8.613730505,10.13111817,12.6780099,13.03926222,..,..,..,..,..,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,1.7339,1.7337,1.6936,1.7339,2.1903,2.029,1.8926,2.2826,1.9341,2.0593,2.0064,2.2599,2.3096,3.0017,3.2247,4.1234,3.9416,3.2728,3.0879,2.896,2.9222,2.847,1.8199,1.7848,1.6852,1.463,1.4172,1.3846,1.4204,1.3755,1.0161,0.9447,0.9423,1.008,0.8929,1.2663,1.4083,2.0096,3.8334,6.0828,7.7889,11.4087,9.7678,8.3,7.8257,8.3465,7.5276,8.0661,7.932,7.2491,7.0541,7.9308,8.2599,8.7073
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,..,..,..,..,..,..,..,..,..,0.153576647,0.149874646,0.142875269,0.142613928,0.175657847,0.158838837,0.144917427,0.171099749,0.142093699,0.150802966,0.152354212,0.18930971,0.210128339,0.274931759,0.288171252,0.36085179,0.345146625,0.287394828,0.267970159,0.243892415,0.242593598,0.232619344,0.137051251,0.119439166,0.103699548,0.085726829,0.079782626,0.075037566,0.074133627,0.069163057,0.05047608,0.046572949,0.044077783,0.044340731,0.037897929,0.051887829,0.055392338,0.07756123,0.144751528,0.221465726,0.275380975,0.388742453,0.319626608,0.262469648,0.238642815,0.246706025,0.216929892,0.226011227,0.215877625,0.191490829,0.180555013,0.198267958,0.20355189,0.210043425
Afghanistan,AFG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,..,..,..,..,..,..,..,4.409574696,12.57896735,14.8661727,16.9461491,14.55329816,13.7309155,11.61954249,13.97424492,20.29962346,13.22422321,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.450455831,..,5.234428133,10.21318051,8.051278967,..,..,..,..
Afghanistan,AFG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,50000000,53000000,58000000,70000000,64000000,74000000,67000000,66000000,72000000,82000000,86000000,100000000,122000000,143000000,230000000,217000000,291000000,306000000,321000000,474000000,670000000,694000000,708000000,729000000,633000000,567000000,552000000,512000000,395000000,236000000,235000000,189000000,181000000,688000000,105000000,166000000,128000000,144000000,159000000,166000000,137000000,68000000,100000000,144000000,305000000,384000000,416000000,454000000,540000000,403000000,388000000,376000000,429000000,515000000,570000000,571000000,596000000,723000000,875000000,864000000,777000000,850000000,819000000,881000000
Afghanistan,AFG,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.051511868,0.08702335,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00465002,0.007472748,0.016543784,0.010913524,0.011206353,0.077046265,0.221132916,0.128832446,0.215322629,0.481711529,0.266230443,0.237665575,0.227370007,0.163204861,0.249916791,0.402344802,0.541363924,0.334119584,0.007001475,0.019397756,..,..
Afghanistan,AFG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.565894962,0.645741697,0.741465719,0.829717882,0.897242372,1.333449281,1.405107061,1.392690944,0.849953626,0.576165632,0.565203899,0.111868106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.231561307,0.0367297,0.028302171,0.023093937,0.017573594,0.014051179,0.016266586,0.010263444,0.040322448,0.045151831,0.046465594,0.034168794,0.00462182,0.002152592,0.002130179,0.001937332,0.001512027,0.001527189,0.001347551,0.001953539,..,..
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,..,..,..,..,..,..,..,..,..,..,0.026566295,0.045310814,0.055766377,0.076334157,0.427935477,0.520410843,0.646363013,0.687944964,0.644109079,1.29349953,1.350058878,1.354749399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.030789276,0.025632803,0.02560516,0.02584762,0.021407037,0.014446464,0.015736314,0.005241738,0.005149456,0.006602395,0.109823884,0.067290162,0.040743866,0.0136358,0.00944508,0.013427081,0.018854417,0.01277729,0.005177619,0.017869506,..,..
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,784.5407253,777.7377312,786.6400165,782.9394266,781.0244448,779.1266385,769.5975185,773.6762881,770.1676401,778.2401757,796.3646255,809.3055684,801.6625656,819.899847,807.1192624,812.5005733,814.7332668,819.3258738,786.1700771,765.0446665,768.3807629,727.6869236,736.4896554,736.1120047,744.3853035,743.4277666,743.5865064,732.1151357,732.2392336,718.3322342,723.1938271,710.6556528,723.8969965,741.1825085,732.453092,726.6606915,739.7073269,763.1269603,749.3209451,738.7953791,733.1763268,712.4040495,709.1811468,724.7211558,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.124134707,8.825977603,8.487198357,8.720754515,8.699930236,8.16683197,7.917401398,7.691475986,7.700796261,7.852310396,7.322623374,7.286943017,7.146221098,7.046392149,7.015805417,6.82635024,6.844659849,6.710186409,6.563543157,6.514877049,6.660354706,6.507321504,..,..
Africa Eastern and Southern,AFE,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.179628672,8.270723848,8.266327153,8.138290951,7.908445555,7.823907893,7.783654415,7.812733636,7.849877812,7.788316903,7.676955209,7.632330068,7.586882837,7.395648184,7.218792628,7.158958345,7.102231154,7.076709788,7.155880662,7.403061307,7.427939936,7.181608079,6.986732703,6.947010734,7.036356825,7.194665995,7.346330634,7.360513104,7.584418799,8.191394911,8.577384992,7.985202252,7.806365422
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),SP.POP.DPND,88.9676966,89.3222844,89.68506383,90.12247548,90.55064471,91.01381622,91.54445845,92.04973069,92.51670437,92.95764875,93.42923776,93.94580286,94.46945454,94.9234243,95.20671665,95.37815334,95.58807474,95.76308648,95.78245909,95.81035007,95.78451732,95.71239714,95.63427501,95.38434296,95.05624478,94.7505109,94.48054902,94.27210974,94.06499811,93.85861726,93.65386234,93.41116832,93.3363752,93.25773248,92.94636493,92.8644392,93.26923428,93.56190518,93.28775143,92.82543428,92.39795111,91.95507017,91.52700618,91.1357231,90.77287558,90.45395726,90.1559485,89.83145301,89.45567441,89.05269864,88.57257622,87.97720861,87.36077613,86.73709858,86.0934422,85.37869102,84.65201521,83.88053165,83.03409773,82.23609751,81.43377659,80.63433833,79.87946348,79.14685731
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3386.85448,3293.797613,3135.101069,3023.988843,2993.630132,3048.085253,3133.177681,3177.467287,3155.073755,3157.38484,3176.568655,3208.676017,3248.720234,3264.299549,3362.867625,3484.019856,3621.836042,3767.971904,3837.110748,3768.541064,3863.836012,3924.470666,3931.146619,3991.808971,4052.851526,4076.020565,4074.982133,4085.879143,4088.890953,4073.880522,3861.111238,3934.287267,3974.803045,3967.860937
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24210632546,24963977551,27078797299,31775749181,30285794057,33813171214,36934974917,38452170916,41750716743,47058301051,47603733608,52199396059,56737525055,73098451709,89554214419,95315090875,96025945910,1.09231E+11,1.24109E+11,1.4213E+11,1.78509E+11,1.85163E+11,1.78405E+11,1.85823E+11,1.701E+11,1.49398E+11,1.60638E+11,1.90275E+11,2.0747E+11,2.20712E+11,2.56512E+11,2.76494E+11,2.41276E+11,2.40096E+11,2.43571E+11,2.73433E+11,2.73531E+11,2.88378E+11,2.68833E+11,2.65429E+11,2.87202E+11,2.60992E+11,2.67815E+11,3.55716E+11,4.42696E+11,5.16661E+11,5.80241E+11,6.65599E+11,7.13502E+11,7.15485E+11,8.4941E+11,9.45439E+11,9.52999E+11,9.62395E+11,9.78708E+11,8.98278E+11,8.28943E+11,9.72999E+11,1.01231E+12,1.00972E+12,9.33392E+11,1.08575E+12,1.19142E+12,1.24547E+12
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.594644525,0.626202116,0.627616223,..,0.66179179,..,..,0.586981535,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.87937908,..,22.83901206,21.220164,22.50086312,21.19665699,22.26183161,21.55441219,21.79098486,23.37455513,23.2102163,23.03727593,25.42936968,22.99504658,24.51709658,24.45775813,23.49160418,22.45203748,23.48100352,23.5531974,24.41555162,27.38607503,26.25452166,26.1533105,..
Africa Eastern and Southern,AFE,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.08823063,..,24.93371857,21.28809792,21.71398216,22.03032685,22.32902704,27.75074636,27.55448454,27.22176536,20.54317556,22.55937519,24.97420692,23.42972241,23.82592518,23.53392712,21.18092044,20.36367167,21.14930109,21.65128845,22.71024615,21.3996237,22.79059272,23.10672347,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,228.4707,227.1187,236.0831,257.7254,264.8591,277.3453,289.9063,293.7032,273.3683,279.7218,296.401,308.1186,311.9497,315.0206,333.2589,341.1113,341.8975,362.7906,368.8666,366.0532,378.5044,370.7042,364.3665,364.4641,372.7854,392.5503,407.2177,423.815,431.596,418.7064,425.0283,436.7736,450.3511,473.8282,510.3818,524.9183,534.2282,557.2732,588.0186,561.5363,576.5684,570.2894,589.2651,612.7969,635.6297,621.8665,628.5365,637.9068,645.8367,654.5401,578.052,606.3945,588.4335,579.8655
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,..,..,..,..,..,..,..,..,..,1.355302964,1.308636704,1.321971856,1.401467928,1.397943475,1.421605018,1.443173843,1.421212299,1.283740913,1.272958355,1.308881247,1.319024419,1.292978982,1.265229002,1.298204387,1.289079863,1.2537471,1.290587728,1.273488144,1.227436014,1.232868988,1.174578007,1.123987955,1.093278599,1.088835819,1.11724841,1.128709727,1.145021672,1.136120713,1.073663127,1.062240409,1.064005253,1.069149856,1.096139047,1.150298733,1.15243439,1.142417212,1.16052182,1.192123437,1.108091443,1.107587414,1.067058723,1.073628687,1.086449162,1.096416272,1.043372669,1.026116204,1.012872687,0.997156909,0.983491717,0.845417186,0.863532874,0.816361437,0.784640732
Africa Eastern and Southern,AFE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.40480126,..,..,..,18.62336517,21.92313092,23.78149273,26.11791418,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.567658949,..,8.108416206,9.258557146,9.417003769,10.25863551,9.554408783,8.058879139,9.727188704,10.1599633,26.94628004,26.45631986,27.35791462,27.11194072,27.83011406,27.01013805,25.88235035,27.20322305,24.91933672,23.74997232,25.32580583,24.86859577,24.86165113,23.34401123,23.71128128,27.00781304,26.33177595
Africa Eastern and Southern,AFE,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4275221174,4283674404,4526704772,5067711505,5505166168,5693250540,6183537892,6457211220,6987651415,7798104860,8215483101,8641314573,9326026219,13171189306,17823635878,16593690884,16059024074,19350500583,21972058599,30159012049,40129597070,33592778053,29548986214,30191067908,29355649413,28056222594,30530933654,35421337171,37881802362,39362355237,41553492193,39905067400,39932456612,41000201890,43247232789,48565679120,52969494641,54957954747,47089290586,48598127219,56189968530,54205564437,57859017655,69259454659,89126817661,1.09796E+11,1.30226E+11,1.62497E+11,2.01059E+11,1.49872E+11,2.05161E+11,2.48962E+11,2.39225E+11,2.36624E+11,2.27277E+11,1.79027E+11,1.66907E+11,1.97518E+11,2.22871E+11,2.00386E+11,1.81819E+11,2.54187E+11,2.73347E+11,2.47777E+11
Africa Eastern and Southern,AFE,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,0.650201959,0.654797714,0.646856961,0.962919691,1.887294176,2.192929602,2.211611316,1.952477086,1.935273677,1.932015323,2.853139856,3.366026534,2.170179052,2.142538245,2.921224735,2.101465145,1.255723005,1.396784277,1.519602842,1.384879086,1.248978964,1.258891965,0.993417029,1.036071046,1.37305245,1.216367071,1.000822197,0.804145688,0.547401221,0.720156948,1.35810843,0.860129524,0.791627098,1.961077704,1.366752466,1.324977158,1.640005216,3.366054017,1.120214156,1.744595001,2.008543387,1.386258756,1.096601214,0.814418219,0.619200654,0.749598908,0.920423701,1.035831786,0.750695469,0.632476456,1.034652902,..,..
Africa Eastern and Southern,AFE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0.00119204,0.000720345,0.000265456,0.000872075,0.001037916,0.001209488,0.001468545,0.001169576,0.000931487,0.001104424,0.015957527,0.013030055,0.013745402,0.018851803,0.019703309,0.020413162,0.019775586,0.017146055,0.011771897,0.016714313,0.025842155,0.038608853,0.036260603,0.02115656,0.039176696,0.023369418,0.064805225,0.055310827,0.063873593,0.051326996,0.05441616,0.06818567,0.075078448,0.076731491,0.068511022,0.059172374,0.05041998,0.076728089,0.125040351,0.120873347,0.096056057,0.142572706,..,..
Africa Eastern and Southern,AFE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0.000250286,0.103172017,0.102532618,0.064073123,0.169502026,0.85964451,0.423757283,0.194052305,0.578376242,0.82760347,1.181954395,0.417797782,0.898081973,0.766951967,1.290028846,1.540300036,0.792010304,1.218831946,1.199555418,1.046630307,1.157745702,1.473818456,1.346201201,0.716433278,1.26399816,2.899623056,2.375489727,2.827015272,2.175825984,2.884453304,4.556316256,5.319931962,6.398356334,10.06510013,4.550340011,5.687028063,6.803561227,5.36410119,4.922566856,3.858703629,1.565946379,1.387175722,2.064716982,2.740083369,2.223498187,1.126502507,2.040738074,..,..
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,506.5372323,510.854291,521.9949809,524.8892608,527.592141,534.6163575,546.0830066,553.4040639,554.5466438,559.9164948,565.4275308,572.6278901,565.5016078,554.7826441,557.7021047,551.8899999,555.4923159,553.1709113,556.3423507,552.7724839,567.5493246,574.0810642,569.7623541,546.8596102,547.5465537,558.2050773,560.9764915,553.1770023,562.3152811,532.7869599,539.4028286,542.7087877,551.5522751,557.6130935,563.6715037,556.8203369,561.0504932,563.4089438,549.4544846,573.1104614,585.5236351,599.0048534,596.9967568,586.6792071,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.827356046,7.63630982,7.276473015,7.07746779,6.832647381,6.773474868,6.501647174,6.349615026,6.168427712,5.830775744,5.957754802,6.100322067,5.925147739,5.845412478,5.658656636,5.488111946,5.643123853,5.52808972,5.42765411,5.503099844,5.635640264,5.557167455,..,..
Africa Western and Central,AFW,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.158680279,4.251101731,4.36980489,4.39378131,4.399749466,4.340691214,4.313735454,4.324048502,4.512157673,4.55111906,4.479977123,4.285853719,4.180110711,4.094738089,4.100699503,3.974094849,3.950642606,3.968542177,4.000386882,3.991594537,3.96902733,3.982162566,3.703853201,3.881395714,4.164467078,4.157574374,4.274196204,4.323630954,4.395271211,4.852392701,4.736731762,3.658573181,3.277245466
